calibration_id,dimension,indicator_name,segment,period,value,unit,source_file,source_page_or_slide,source_strength,simulation_use,cannot_claim,next_data_needed,raw_text_snippet,output_status
ORCI-001,macro_income,北京市居民人均可支配收入,全市居民,2025,89090,元/人/年,https://tjj.beijing.gov.cn/zxfbu/202601/t20260121_4451962.html,web,official_macro_boundary,约束价格带和支付能力讨论的上位边界。,不能当作奥森周边街道级收入，也不能证明某节点高客单成立。,补奥森周边 1-3 公里街道/社区收入、居住办公结构和游客来源。,北京市统计局 / 国家统计局北京调查总队：2025 年全市居民人均可支配收入 89090 元。,needs_review
ORCI-002,macro_consumption,北京市居民人均消费支出,全市居民,2025,50667,元/人/年,https://tjj.beijing.gov.cn/zxfbu/202601/t20260121_4451977.html,web,official_macro_boundary,约束文娱、亲子、康养、轻餐等业态的价格带讨论。,不能替代项目周边真实消费结构和园内实际转化。,补竞品客单价、园内交易、支付笔数、分时段转化率。,北京市统计局 / 国家统计局北京调查总队：2025 年全市居民人均消费支出 50667 元。,needs_review
ORCI-003,macro_service_consumption,北京市居民人均服务性消费支出,全市居民,2025,30052,元/人/年,https://tjj.beijing.gov.cn/zxfbu/202601/t20260121_4452019.html,web,official_macro_boundary,说明服务消费有宏观背景，可约束体验、活动、康养和文娱判断。,不能证明奥森某节点能承接高服务客单。,补项目周边服务消费价格、报名转化、复购和场地容量。,2025 年全市居民人均服务性消费支出 30052 元，占消费支出 59.3%。,needs_review
ORCI-101,local_tgi_lifestyle,美食/食材/票务生活偏好,全部人口,2024-12-30 至 2025-12-29,美食 TGI 118；食材 TGI 122；票务 TGI 152,TGI,30_extraction\pdf_text\奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.json,201,local_bigdata_profile,用于判断轻餐、票务活动、亲子/演艺和补给服务是否值得进入候选。,TGI 是偏好指数，不是成交率、客单价或收入。,补真实消费转化、客单价、竞品价格和活动售卖数据。,A10人群画像分析-APP偏好-生活 生活 人群覆盖度 北京市大盘 TGI 汽车服务 61.13% 119 生活服务 57.94% 109 配送 50.69% 108 家装 23.75% 115 美食 21.17% 118 食材 19.27% 122 买车 16.61% 125 招聘/求职 15.00% 121 票务 9.54% 152 租房 8.91% 106 注：TGI目标群体指数 公式为：人群该项标签值用户所占比例/全体网民该项标签值的比例*100。指数等于100说明与全体网民水平相当，值越大偏好度越高，值越低说明越低于整体网民水平 73.32% 63.52% 54.76% 27.52% 25.10% 23.68% 20.79% 18.21% 14.51% 9.52% 20241230-20251229期间到访“奥林匹克森林公园”的全部人口中，生活“汽车服务”的人群 覆盖度最高，为73.32%（北京市生活“汽车服务”人群覆,needs_review
ORCI-102,local_tgi_health,运动健身与健康偏好,全部/流动人口,2024-12-30 至 2025-12-29,运动健身 TGI 125；健康养生 TGI 123,TGI,30_extraction\pdf_text\奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.json,205,local_bigdata_profile,用于约束晨练、跑步、运动补给、拉伸康复、瑜伽/普拉提场景。,不能证明某个节点有足够付费人群或可经营面积。,补跑步路线客流、停留时长、补水需求、运动类竞品价格和可营业时段。,A10人群画像分析-APP偏好-健康 健康 人群覆盖度 北京市大盘 TGI 医疗用药 21.38% 110 运动健身 11.81% 125 经期孕期 3.61% 132 健康养生 2.38% 123 注：TGI目标群体指数 公式为：人群该项标签值用户所占比例/全体网民该项标签值的比例*100。指数等于100说明与全体网民水平相当，值越大偏好度越高，值越低说明越低于整体网民水平 23.55% 14.78% 4.77% 2.93% 20241230-20251229期间到访“奥林匹克森林公园”的全部人口中，健康“医疗用药”的人群 覆盖度最高，为23.55%（北京市健康“医疗用药”人群覆盖度21.38%）。,needs_review
ORCI-103,local_tgi_parent_education,教育与亲子偏好,全部/流动人口,2024-12-30 至 2025-12-29,在线学堂 TGI 125；儿童教育 TGI 119；出国留学 TGI 145,TGI,30_extraction\pdf_text\奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.json,210,local_bigdata_profile,用于约束亲子活动、儿童文创、研学和家庭休憩场景。,不能证明亲子客群在目标节点出现，也不能证明愿意付费。,补家庭同行比例、儿童年龄段、周末/节假日流量和亲子竞品客单。,A10人群画像分析-APP偏好-教育 教育 人群覆盖度 北京市大盘 TGI 在线学堂 28.14% 125 语言学习 23.02% 119 家长学堂 15.43% 109 儿童教育 9.69% 119 考试 5.95% 120 行业知识 1.62% 116 出国留学 0.45% 145 注：TGI目标群体指数 公式为：人群该项标签值用户所占比例/全体网民该项标签值的比例*100。指数等于100说明与全体网民水平相当，值越大偏好度越高，值越低说明越低于整体网民水平 35.19% 27.59% 16.96% 11.55% 7.15% 1.88% 0.65% 20241230-20251229期间到访“奥林匹克森林公园”的全部人口中，教育“在线学堂”的人群 覆盖度最高，为35.19%（北京市教育“在线学堂”人群覆盖度28.14%）。,needs_review
ORCI-104,local_income_proxy,手机价格分段,全部人口,2024-12-30 至 2025-12-29,2001-3000 元占比 17.51%；4001-5000 TGI 128；7001-8000 TGI 126,设备价格代理变量,30_extraction\pdf_text\奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.json,244,local_device_price_proxy,作为收入/消费能力的弱代理，帮助校验价格带不能只靠主观假设。,手机价格不是个人收入；不能直接推出消费能力或高客单。,补街道级收入、家庭结构、实际支付数据和竞品客单。,A10人群画像分析-设备偏好-手机价格（分段）v2 手机价格（分段）v2 占比 北京市大盘 TGI 2001-3000 18.37% 95 1001-2000 19.22% 76 4001-5000 10.70% 128 3001-4000 11.34% 105 5001-6000 8.65% 116 6001-7000 7.80% 114 >10000 9.42% 85 7001-8000 5.81% 126 9001-10000 4.36% 89 8001-9000 2.81% 100 注：TGI目标群体指数 公式为：人群该项标签值用户所占比例/全体网民该项标签值的比例*100。指数等于100说明与全体网民水平相当，值越大偏好度越高，值越低说明越低于整体网民水平 17.51% 14.68% 13.76% 12.01% 10.09% 8.94% 8.04% 7.38% 3.91% 2.83% 20241230-20251229,needs_review
ORCI-105,local_income_proxy_work,工作人口高端手机价格分段,工作人口,2024-12-30 至 2025-12-29,>10000 元 TGI 128；5001-6000 TGI 123；6001-7000 TGI 130；7001-8000 TGI 132,设备价格代理变量,30_extraction\pdf_text\奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.json,247,local_device_price_proxy,提示工作人口存在较高设备价格分段偏好，可用于白领/商务/运动社交场景的价格敏感性讨论。,不能直接证明高收入白领占比或高客单承接能力。,补周边办公人群、工作日午晚高峰、支付客单和品牌价格带。,A10人群画像分析-设备偏好-手机价格（分段）v2 手机价格（分段）v2 占比 北京市大盘 TGI 2001-3000 18.37% 80 1001-2000 19.22% 74 >10000 9.42% 128 5001-6000 8.65% 123 3001-4000 11.34% 93 4001-5000 10.70% 98 6001-7000 7.80% 130 7001-8000 5.81% 132 9001-10000 4.36% 100 8001-9000 2.81% 129 注：TGI目标群体指数 公式为：人群该项标签值用户所占比例/全体网民该项标签值的比例*100。指数等于100说明与全体网民水平相当，值越大偏好度越高，值越低说明越低于整体网民水平 14.75% 14.35% 12.14% 10.65% 10.63% 10.53% 10.19% 7.71% 4.37% 3.63% 20241230-202512,needs_review
ORCI-106,local_competitor_price,周边美食热门到访与客单,工作人口,2024-12-30 至 2025-12-29,新净雅 231 元；咿道南门涮肉 92 元；亲子家庭餐厅 129 元,人均消费,30_extraction\pdf_text\奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.json,,local_poi_price_signal,作为竞品价格带线索，用来约束园内餐饮/亲子/轻餐价格设定。,热门到访不等于园内可复制，也不等于目标节点成交。,补园内外竞品清单、距离、排队、营业时间、支付转化和品牌授权。,,needs_review
ORCI-107,local_competitor_price,流动人口美食热门到访与客单,流动人口,2024-12-30 至 2025-12-29,咿道南门涮肉 92 元；新净雅 231 元；亲子家庭餐厅 129 元,人均消费,30_extraction\pdf_text\奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.json,,local_poi_price_signal,用于交叉验证流动人口的餐饮外溢和价格带。,不能证明园内新增餐饮可达到同样客单。,补流动人口来源、园内停留、节点可达性和消费转化。,,needs_review
