review_queue_id,table_id,source_file,page,table_index,row_count,column_count,topic_draft,topic_confidence,sampling_priority,evidence_candidate_status,review_gate,output_status,reason_draft,evidence_keywords_draft,sample
TBL-REVIEW-0005,TBL-00005,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,9,1,5,4,poi_hot_visit,high,P0_second_evidence_candidate,candidate_for_second_evidence_review,table_sampling,draft,表格包含POI名称、热度指数及人均消费，直接反映热门POI访问特征。,"POI名称, 指数, 人均消费",排序 / POI名称 / 指数 / 扩展信息 | 1 / 北京宴(通州大运河店) / 2624 / 人均消费434元 | 2 / 熙僖小馆(副中心绿心公园店) / 2079 / 人均消费118元
TBL-REVIEW-0006,TBL-00006,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,10,1,19,8,poi_hot_visit,high,P0_second_evidence_candidate,candidate_for_second_evidence_review,table_sampling,draft,表格列出餐饮类POI热度指数和人均消费，如簋街、gulugulu、必胜客、丰泽园饭店，反映热门餐饮访问量。,"['簋街', 'gulugulu', '必胜客', '丰泽园饭店', '指数', '人均消费']",排序 / POI名称 / 指数 / 扩展信息 / 排序 / POI名称 / 指数 / 扩展信息 | 1 / 簋街 / 4807 /  / 11 / 必胜客(南锣鼓巷店) / 3812 / 人均消费79元 | 2 / gulugulu(中国国际贸易中心 店) / 4161 / 人均消费28元 / 12 / 丰泽园饭店(珠市口店) / 3805 / 人均消费204元
TBL-REVIEW-0007,TBL-00007,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,11,1,16,8,commercial_supply,medium,P0_second_evidence_candidate,candidate_for_second_evidence_review,table_sampling,draft,表格列出企业/公司名称及指数，如联东u谷、北京创业港湾科技、国网通州供电公司等，反映商业/企业供给分布。,"['联东u谷', '北京创业港湾科技有限公司', '国网北京通州供电公司', '北汽新能源营销公司']",排序 / POI名称 / 指数 / 扩展信息 / 排序 / POI名称 / 指数 / 扩展信息 | 1 / 联东u谷 / 4476 /  / 11 / 国网北京通州供电公司 / 3819 /  | 2 / 北京创业港湾科技有限公司 / 4317 /  / 12 / 北汽新能源营销公司 / 3771 / 
TBL-REVIEW-0008,TBL-00008,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,12,1,11,8,commercial_supply,high,P0_second_evidence_candidate,candidate_for_second_evidence_review,table_sampling,draft,表格列出大型购物中心热度指数，如万达广场、领展购物广场、鑫隆生活广场等，反映商业设施供给与热度。,"['北京通州万达广场', '领展购物广场·京通', '鑫隆生活广场', '凯德mall']",排序 / POI名称 / 指数 / 扩展信息 / 排序 / POI名称 / 指数 / 扩展信息 | 1 / 北京通州万达广场 / 5312 /  / 11 / 鑫隆生活广场 / 4620 /  | 2 / 领展购物广场·京通 / 5022 /  / 12 / 凯德mall(西直门店) / 4580 / 
TBL-REVIEW-0009,TBL-00009,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,13,1,19,8,commercial_supply,medium,P0_second_evidence_candidate,candidate_for_second_evidence_review,table_sampling,draft,表格列出生活服务类POI热度，如链家地产、宠福鑫动物医院、心心宠物生活馆，反映社区商业服务设施。,"['链家地产', '宠福鑫动物医院', '心心宠物生活馆']",排序 / POI名称 / 指数 / 扩展信息 / 排序 / POI名称 / 指数 / 扩展信息 | 1 / 链家地产(双龙南里店) / 4019 /  / 11 / 心心宠物生活馆 / 3433 /  | 2 / 宠福鑫动物医院(东方丽景分 院) / 3643 /  / 12 / 链家地产(海晟名苑一店) / 3431 / 
TBL-REVIEW-0010,TBL-00010,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,14,1,11,8,poi_hot_visit,high,P0_second_evidence_candidate,candidate_for_second_evidence_review,table_sampling,draft,表格列出旅游景点和咖啡店等热门POI指数，如北京环球度假区、欢乐谷、瑞幸咖啡、costa coffee，反映热点访问。,"['北京环球度假区', '欢乐谷', '瑞幸咖啡', 'costa coffee']",排序 / POI名称 / 指数 / 扩展信息 / 排序 / POI名称 / 指数 / 扩展信息 | 1 / 北京环球度假区 / 5048 /  / 11 / 瑞幸咖啡(恒安大厦店) / 3721 /  | 2 / 欢乐谷 / 4320 /  / 12 / costa coffee(雍和宫店) / 3709 / 
TBL-REVIEW-0011,TBL-00011,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,15,1,11,8,poi_hot_visit,high,P0_second_evidence_candidate,candidate_for_second_evidence_review,table_sampling,draft,表格列出了体育健身类POI名称及指数排名，属于热门访问POI榜单,健龙森体育健身俱乐部、国家奥林匹克体育中心、指数,排序 / POI名称 / 指数 / 扩展信息 / 排序 / POI名称 / 指数 / 扩展信息 | 1 / 健龙森体育健身俱乐部 / 4110 /  / 11 / 丰台体育中心 / 3254 /  | 2 / 国家奥林匹克体育中心 / 3922 /  / 12 / 博乐律动体育中心羽毛球 / 3243 / 
TBL-REVIEW-0012,TBL-00012,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,16,1,15,8,poi_hot_visit,high,P0_second_evidence_candidate,candidate_for_second_evidence_review,table_sampling,draft,表格列出了驾校、加油站等交通出行类POI名称及指数排名,东方时尚驾校、小海豚加油站、指数,排序 / POI名称 / 指数 / 扩展信息 / 排序 / POI名称 / 指数 / 扩展信息 | 1 / 东方时尚驾校 / 4281 /  / 11 / 马驹桥石化加油站 / 3934 /  | 2 / 小海豚北京市通州运恒加油 站 / 4178 /  / 12 / 中国石化暖风加油站 / 3917 / 
TBL-REVIEW-0013,TBL-00013,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,17,1,18,8,poi_hot_visit,high,P0_second_evidence_candidate,candidate_for_second_evidence_review,table_sampling,draft,表格列出了医院POI名称及指数排名,首都医科大学附属北京潞河医院、北京世纪坛医院、指数,排序 / POI名称 / 指数 / 扩展信息 / 排序 / POI名称 / 指数 / 扩展信息 | 1 / 首都医科大学附属北京潞河 医院 / 4834 /  / 11 / 北京世纪坛医院 / 4057 /  |  /  /  /  / 12 / 中国医科大学航空总医院 / 4051 / 
TBL-REVIEW-0014,TBL-00014,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,18,1,16,8,poi_hot_visit,high,P0_second_evidence_candidate,candidate_for_second_evidence_review,table_sampling,draft,表格列出了酒店POI名称、指数及扩展价格信息，系热门访问榜单,京伦饭店、酒店起价、指数,排序 / POI名称 / 指数 / 扩展信息 / 排序 / POI名称 / 指数 / 扩展信息 | 1 / 京伦饭店 / 4225 / 酒店起价677元 / 11 / 裕龙国际酒店 / 3948 / 酒店起价524元 | 2 / 北京万隆宾馆 / 4225 / 酒店起价140元 / 12 / 北京诺富特和平宾馆 / 3920 / 酒店起价940元
