followup_id,query_id,park_id,park_name,commercial_category,issue_type,current_keyword,current_radius_m,current_page_size,current_result_count,recommended_action,suggested_page_num,suggested_keywords,suggested_radius_m,requires_amap_key,priority,notes
AMAP-FOLLOWUP-001,cg_tea,sample_city_green_heart,城市绿心森林公园,tea_drink,zero_result,茶饮,1500,25,0,retry_with_synonyms_or_manual_check,1,奶茶;茶饮店;饮品,1500,yes,P1,零结果不能直接解释为业态缺失；先换关键词或结合现场/公开地图复核。
AMAP-FOLLOWUP-002,cg_restaurant,sample_city_green_heart,城市绿心森林公园,restaurant,zero_result,餐厅,1500,25,0,retry_with_synonyms_or_manual_check,1,餐厅;中餐;简餐,1500,yes,P1,零结果不能直接解释为业态缺失；先换关键词或结合现场/公开地图复核。
AMAP-FOLLOWUP-003,cg_cultural_creative,sample_city_green_heart,城市绿心森林公园,cultural_creative,zero_result,文创,1500,25,0,retry_with_synonyms_or_manual_check,1,文创;纪念品;礼品,1500,yes,P1,零结果不能直接解释为业态缺失；先换关键词或结合现场/公开地图复核。
AMAP-FOLLOWUP-004,cg_souvenir,sample_city_green_heart,城市绿心森林公园,cultural_creative,zero_result,纪念品,1500,25,0,retry_with_synonyms_or_manual_check,1,文创;纪念品;礼品,1500,yes,P1,零结果不能直接解释为业态缺失；先换关键词或结合现场/公开地图复核。
AMAP-FOLLOWUP-005,cg_yoga,sample_city_green_heart,城市绿心森林公园,yoga_pilates,zero_result,瑜伽,1500,25,0,retry_with_synonyms_or_manual_check,1,瑜伽;普拉提;健身;运动康复,1500,yes,P1,零结果不能直接解释为业态缺失；先换关键词或结合现场/公开地图复核。
AMAP-FOLLOWUP-006,cg_pilates,sample_city_green_heart,城市绿心森林公园,yoga_pilates,zero_result,普拉提,1500,25,0,retry_with_synonyms_or_manual_check,1,瑜伽;普拉提;健身;运动康复,1500,yes,P1,零结果不能直接解释为业态缺失；先换关键词或结合现场/公开地图复核。
AMAP-FOLLOWUP-007,cg_bar,sample_city_green_heart,城市绿心森林公园,night_dining_bar,zero_result,酒吧,1500,25,0,retry_with_synonyms_or_manual_check,1,酒吧;精酿;夜宵,1500,yes,P1,零结果不能直接解释为业态缺失；先换关键词或结合现场/公开地图复核。
AMAP-FOLLOWUP-008,os_coffee,sample_olympic_forest,奥林匹克森林公园,coffee,page_size_cap,咖啡,3000,25,25,fetch_page_2_then_rebuild_dedupe,2,咖啡,3000,yes,P0,首轮返回达到单页上限，不能确认是否已覆盖完整供给；需要补抓下一页或缩小半径分段。
AMAP-FOLLOWUP-009,os_tea,sample_olympic_forest,奥林匹克森林公园,tea_drink,page_size_cap,茶饮,3000,25,25,fetch_page_2_then_rebuild_dedupe,2,茶饮,3000,yes,P0,首轮返回达到单页上限，不能确认是否已覆盖完整供给；需要补抓下一页或缩小半径分段。
AMAP-FOLLOWUP-010,os_cold_drink,sample_olympic_forest,奥林匹克森林公园,cold_drink,page_size_cap,冷饮,3000,25,25,fetch_page_2_then_rebuild_dedupe,2,冷饮,3000,yes,P0,首轮返回达到单页上限，不能确认是否已覆盖完整供给；需要补抓下一页或缩小半径分段。
AMAP-FOLLOWUP-011,os_fast_food,sample_olympic_forest,奥林匹克森林公园,fast_food,page_size_cap,小吃快餐,3000,25,25,fetch_page_2_then_rebuild_dedupe,2,小吃快餐,3000,yes,P0,首轮返回达到单页上限，不能确认是否已覆盖完整供给；需要补抓下一页或缩小半径分段。
AMAP-FOLLOWUP-012,os_restaurant,sample_olympic_forest,奥林匹克森林公园,restaurant,page_size_cap,餐厅,3000,25,25,fetch_page_2_then_rebuild_dedupe,2,餐厅,3000,yes,P0,首轮返回达到单页上限，不能确认是否已覆盖完整供给；需要补抓下一页或缩小半径分段。
AMAP-FOLLOWUP-013,os_souvenir,sample_olympic_forest,奥林匹克森林公园,cultural_creative,zero_result,纪念品,3000,25,0,retry_with_synonyms_or_manual_check,1,文创;纪念品;礼品,3000,yes,P1,零结果不能直接解释为业态缺失；先换关键词或结合现场/公开地图复核。
AMAP-FOLLOWUP-014,os_convenience,sample_olympic_forest,奥林匹克森林公园,convenience_retail,page_size_cap,便利店,3000,25,25,fetch_page_2_then_rebuild_dedupe,2,便利店,3000,yes,P0,首轮返回达到单页上限，不能确认是否已覆盖完整供给；需要补抓下一页或缩小半径分段。
AMAP-FOLLOWUP-015,os_sports_supply,sample_olympic_forest,奥林匹克森林公园,sports_supply,page_size_cap,运动装备,3000,25,25,fetch_page_2_then_rebuild_dedupe,2,运动装备,3000,yes,P0,首轮返回达到单页上限，不能确认是否已覆盖完整供给；需要补抓下一页或缩小半径分段。
AMAP-FOLLOWUP-016,os_yoga,sample_olympic_forest,奥林匹克森林公园,yoga_pilates,page_size_cap,瑜伽,3000,25,25,fetch_page_2_then_rebuild_dedupe,2,瑜伽,3000,yes,P0,首轮返回达到单页上限，不能确认是否已覆盖完整供给；需要补抓下一页或缩小半径分段。
AMAP-FOLLOWUP-017,os_bar,sample_olympic_forest,奥林匹克森林公园,night_dining_bar,page_size_cap,酒吧,3000,25,25,fetch_page_2_then_rebuild_dedupe,2,酒吧,3000,yes,P0,首轮返回达到单页上限，不能确认是否已覆盖完整供给；需要补抓下一页或缩小半径分段。
