check_id,status,severity,finding,evidence
P3-PREWORK-REVIEW-001,pass,error,route decision rows=3,70_outputs/processed_tables/p3_p4_route_decision_deepseek.csv
P3-PREWORK-REVIEW-002,pass,error,DWG work rows=8,70_outputs/processed_tables/p3_dwg_conversion_work_order_deepseek.csv
P3-PREWORK-REVIEW-003,pass,error,calibration rows=16,70_outputs/processed_tables/p3_calibration_data_requirements_deepseek.csv
P3-PREWORK-REVIEW-004,pass,error,mapping rows=16,70_outputs/processed_tables/p3_p2_to_calibration_field_mapping_deepseek.csv
P3-PREWORK-REVIEW-005,pass,error,P4 skeleton rows=12,70_outputs/processed_tables/p4_parallel_skeleton_backlog_deepseek.csv
P3-PREWORK-REVIEW-006,pass,error,route output statuses={'needs_review': 3},70_outputs/processed_tables/p3_p4_route_decision_deepseek.csv
P3-PREWORK-REVIEW-007,pass,error,route executors={'deepseek': 3},70_outputs/processed_tables/p3_p4_route_decision_deepseek.csv
P3-PREWORK-REVIEW-008,pass,error,route task ids={'LLM-022': 3},70_outputs/processed_tables/p3_p4_route_decision_deepseek.csv
P3-PREWORK-REVIEW-009,pass,error,dwg output statuses={'needs_review': 8},70_outputs/processed_tables/p3_dwg_conversion_work_order_deepseek.csv
P3-PREWORK-REVIEW-010,pass,error,dwg executors={'deepseek': 8},70_outputs/processed_tables/p3_dwg_conversion_work_order_deepseek.csv
P3-PREWORK-REVIEW-011,pass,error,dwg task ids={'LLM-022': 8},70_outputs/processed_tables/p3_dwg_conversion_work_order_deepseek.csv
P3-PREWORK-REVIEW-012,pass,error,calibration output statuses={'needs_review': 16},70_outputs/processed_tables/p3_calibration_data_requirements_deepseek.csv
P3-PREWORK-REVIEW-013,pass,error,calibration executors={'deepseek': 16},70_outputs/processed_tables/p3_calibration_data_requirements_deepseek.csv
P3-PREWORK-REVIEW-014,pass,error,calibration task ids={'LLM-022': 16},70_outputs/processed_tables/p3_calibration_data_requirements_deepseek.csv
P3-PREWORK-REVIEW-015,pass,error,mapping output statuses={'needs_review': 16},70_outputs/processed_tables/p3_p2_to_calibration_field_mapping_deepseek.csv
P3-PREWORK-REVIEW-016,pass,error,mapping executors={'deepseek': 16},70_outputs/processed_tables/p3_p2_to_calibration_field_mapping_deepseek.csv
P3-PREWORK-REVIEW-017,pass,error,mapping task ids={'LLM-022': 16},70_outputs/processed_tables/p3_p2_to_calibration_field_mapping_deepseek.csv
P3-PREWORK-REVIEW-018,pass,error,p4 output statuses={'needs_review': 12},70_outputs/processed_tables/p4_parallel_skeleton_backlog_deepseek.csv
