query_id,park_id,park_name,city,center_address,radius_m,commercial_category,amap_keywords,amap_types,priority,notes
cg_coffee,sample_city_green_heart,城市绿心森林公园,北京市,北京市通州区城市绿心森林公园,1500,coffee,咖啡,,P0,核验咖啡供给与PPT口径问题
cg_tea,sample_city_green_heart,城市绿心森林公园,北京市,北京市通州区城市绿心森林公园,1500,tea_drink,茶饮,,P1,补充饮品类供给
cg_cold_drink,sample_city_green_heart,城市绿心森林公园,北京市,北京市通州区城市绿心森林公园,1500,cold_drink,冷饮,,P1,补充冷饮/冰淇淋供给
cg_fast_food,sample_city_green_heart,城市绿心森林公园,北京市,北京市通州区城市绿心森林公园,1500,fast_food,小吃快餐,,P0,对应PDF小吃快餐TGI
cg_restaurant,sample_city_green_heart,城市绿心森林公园,北京市,北京市通州区城市绿心森林公园,1500,restaurant,餐厅,,P1,补充餐饮供给
cg_cultural_creative,sample_city_green_heart,城市绿心森林公园,北京市,北京市通州区城市绿心森林公园,1500,cultural_creative,文创,,P1,补文创/纪念品线索
cg_souvenir,sample_city_green_heart,城市绿心森林公园,北京市,北京市通州区城市绿心森林公园,1500,cultural_creative,纪念品,,P1,补文创/纪念品线索
cg_convenience,sample_city_green_heart,城市绿心森林公园,北京市,北京市通州区城市绿心森林公园,1500,convenience_retail,便利店,,P1,补便利零售供给
cg_sports_supply,sample_city_green_heart,城市绿心森林公园,北京市,北京市通州区城市绿心森林公园,1500,sports_supply,运动装备,,P1,补运动补给供给
cg_yoga,sample_city_green_heart,城市绿心森林公园,北京市,北京市通州区城市绿心森林公园,1500,yoga_pilates,瑜伽,,P2,补运动课程供给
cg_pilates,sample_city_green_heart,城市绿心森林公园,北京市,北京市通州区城市绿心森林公园,1500,yoga_pilates,普拉提,,P2,补运动课程供给
cg_bar,sample_city_green_heart,城市绿心森林公园,北京市,北京市通州区城市绿心森林公园,1500,night_dining_bar,酒吧,,P2,补夜间餐酒线索
os_coffee,sample_olympic_forest,奥林匹克森林公园,北京市,北京市朝阳区奥林匹克森林公园,3000,coffee,咖啡,,P0,核验奥森精品咖啡供给冲突
os_tea,sample_olympic_forest,奥林匹克森林公园,北京市,北京市朝阳区奥林匹克森林公园,3000,tea_drink,茶饮,,P1,补充饮品类供给
os_cold_drink,sample_olympic_forest,奥林匹克森林公园,北京市,北京市朝阳区奥林匹克森林公园,3000,cold_drink,冷饮,,P0,对应PDF冷饮店TGI
os_fast_food,sample_olympic_forest,奥林匹克森林公园,北京市,北京市朝阳区奥林匹克森林公园,3000,fast_food,小吃快餐,,P1,补快餐供给
os_restaurant,sample_olympic_forest,奥林匹克森林公园,北京市,北京市朝阳区奥林匹克森林公园,3000,restaurant,餐厅,,P1,补餐饮供给
os_cultural_creative,sample_olympic_forest,奥林匹克森林公园,北京市,北京市朝阳区奥林匹克森林公园,3000,cultural_creative,文创,,P0,核验文创纪念品供给缺口
os_souvenir,sample_olympic_forest,奥林匹克森林公园,北京市,北京市朝阳区奥林匹克森林公园,3000,cultural_creative,纪念品,,P0,核验文创纪念品供给缺口
os_convenience,sample_olympic_forest,奥林匹克森林公园,北京市,北京市朝阳区奥林匹克森林公园,3000,convenience_retail,便利店,,P1,补便利零售供给
os_sports_supply,sample_olympic_forest,奥林匹克森林公园,北京市,北京市朝阳区奥林匹克森林公园,3000,sports_supply,运动装备,,P1,补运动补给供给
os_yoga,sample_olympic_forest,奥林匹克森林公园,北京市,北京市朝阳区奥林匹克森林公园,3000,yoga_pilates,瑜伽,,P0,核验瑜伽供给冲突
os_pilates,sample_olympic_forest,奥林匹克森林公园,北京市,北京市朝阳区奥林匹克森林公园,3000,yoga_pilates,普拉提,,P0,核验普拉提供给冲突
os_bar,sample_olympic_forest,奥林匹克森林公园,北京市,北京市朝阳区奥林匹克森林公园,3000,night_dining_bar,酒吧,,P1,补夜间餐酒线索
