program_id,program_name,persona_name,trigger_condition,start_context,route_preference,actions,service_demand,consumption_demand,abandon_or_spillover_condition,probability_inputs,source_basis,calibration_status,output_status
BEH-001,亲子周末入园休息消费,亲子家庭,周末/节假日 + 儿童疲劳,入口到儿童活动区之间,少绕路、优先遮阴和卫生间,寻找座椅与饮品点; 若附近有儿童友好轻餐则停留; 记录等待时间,卫生间; 遮阴; 儿童座椅,饮品; 轻餐; 亲子小商品,排队超过8分钟或绕行超过180米时放弃并向园外/线上替代转移,persona_weight; weekend_multiplier; distance_decay; queue_tolerance; weather_flag,P2-TRG-001/002 + 状态对齐方法,needs_real_family_flow_and_queue_data,needs_review
BEH-002,运动后补给恢复,运动健身人群,运动后30分钟,跑步骑行路线节点附近,沿主环线寻找近距离补给,补水; 购买轻食或运动饮料; 若有康复/拉伸服务则评估停留,饮水; 储物; 康复线索,运动饮料; 轻食; 装备耗材,距离超过320米或看不到明确运动补给标识时跳过,route_flow; after_sport_window; poi_visibility; price_band,P2-TRG-003 + TGI运动偏好,needs_route_sensor_or_observation_data,needs_review
BEH-003,午间咖啡与快餐,周边白领与社交人群,午餐/下午茶时段,办公区或交通入口到园内节点,时间最短、可快速离场,搜索咖啡/简餐; 选择等待短且可坐的位置; 可能与同事合并消费,座位; 充电; 快速取餐,咖啡; 烘焙; 简餐,等待超过10分钟或支付/排队不清晰时改去园外成熟商圈,time_budget; lunch_peak; queue_tolerance; supply_density,P2-TRG-004 + 消费偏好证据,needs_time_peak_and_nearby_worker_data,needs_review
BEH-004,社交会合后轻消费,周边白领与社交人群,朋友会合/轻社交,主入口、湖边或开放草坪附近,偏好景观和可停留空间,选择可坐可聊的位置; 购买低负担饮品; 形成二次停留,座椅; 遮阴; 夜间照明,咖啡; 茶饮; 甜品,空间过吵、座位不足或距离主路过远时缩短停留,companion_count; seat_availability; scenic_score; dwell_intent,P2-TRG-005 + AI工作台业务报告学习,needs_dwell_time_survey,needs_review
BEH-005,老人晨练康养服务,老人康养人群,工作日晨练/低峰,晨练点到休息节点之间,近距离、低噪、无障碍,晨练后寻找座椅; 关注茶饮/理疗/课程; 对价格和安全性更敏感,无障碍; 低噪座椅; 健康咨询,茶饮; 康养服务; 轻食,缺少明确安全/可信提示或价格不透明时不消费,age_mix; morning_flow; trust_signal; price_sensitivity,P2-TRG-006/007 + 社区仿真作息验证方法,needs_age_mix_and_service_acceptance_data,needs_review
BEH-006,文化参观顺路文创,外地游客与文化参观人群,经过展陈/历史文化点,展陈点到出口之间,愿意为特色和纪念绕行,看导览; 顺路进入文创/特色餐饮; 购买小额纪念品,导览; 寄存; 路线提示,文创; 纪念品; 特色饮品,看不到与公园文化相关的差异化内容时放弃,route_passby; culture_interest; product_fit; dwell_time,P2-TRG-008 + 老板资料中产品测试启发,needs_cultural_route_and_purchase_data,needs_review
BEH-007,夜间演艺散场补给,夜间活动与演艺人群,夜间演出/活动散场,活动场地到出口/停车点,安全照明和返程便利优先,快速补给; 购买活动周边; 与同行短暂停留,照明; 安保; 卫生间; 返程指引,夜间轻餐; 饮品; 活动周边,灯光不足、动线拥堵或返程压力高时快速离开,event_schedule; night_flow; safety_score; return_pressure,P2-TRG-009 + 夜间活动场景,needs_event_flow_safety_and_authorization,needs_review
BEH-008,赛事活动短时补给,运动健身人群,赛事/团体活动,集合点和补给点之间,按活动组织动线移动,赛前购买水和能量补给; 赛后拉伸/补餐; 团体集中消费,临时补给; 排队管理; 储物,水; 能量棒; 轻食; 运动纪念品,补给点容量不足或排队秩序差时转向自带/外部购买,event_participant_count; queue_capacity; stock_availability,P2运动场景 + 同事POI/TGI供需缺口思路,needs_event_operations_data,needs_review
BEH-009,雨热天气避让消费,亲子家庭,高温/雨天/大风,户外游线进入室内或半室内节点,最近可避让空间优先,寻找遮蔽; 延长室内停留; 顺带购买饮品轻食,遮阴; 雨棚; 室内座位,饮品; 甜品; 简餐,无可避让空间或空间过挤时提前离园,weather_flag; shelter_capacity; crowding_level; child_fatigue,长图材料对“早期模拟不能替代验证”的约束 + P2触发,needs_weather_linked_observation,needs_review
BEH-010,停车/入口到首个消费点,外地游客与文化参观人群,从停车场或地铁入口进入,入口到首个核心节点,入口导览清晰、首个消费点可见,决定路线; 若首个节点有清晰业态则先消费; 否则直接去景点,导览; 路线牌; 寄存,咖啡; 水; 文创小件,入口信息混乱或首个点距离过远时跳过首购,entrance_flow; first_poi_distance; signage_score; visitor_origin,P2入口节点语义 + 高德POI上下文,needs_entrance_flow_and_signage_audit,needs_review
BEH-011,排队放弃与外溢,周边白领与社交人群,高峰排队/座位不足,热门节点周边,选择替代点或离园,观察排队; 比较附近替代供给; 可能产生外溢到园外商业,座位; 快速支付; 清晰排队,咖啡; 简餐; 便利零售,等待超过个人容忍或替代点距离更近时外溢,queue_length; alternative_supply; detour_tolerance; time_budget,POI/TGI缺口模型 + ABM行为放弃机制,needs_queue_and_spillover_data,needs_review
BEH-012,资料不足时的保守决策,所有人群,关键资料缺失或冲突,任意节点,不生成最终推荐,只输出待补数据和敏感性提醒; 不做收益结论; 不关闭门禁,资料清单; 证据编号; 人工复核入口,无直接消费预测,存在geometry/visitor_flow/conversion_rate/revenue_cost/authorization任一阻塞时暂停正式仿真,gate_status; evidence_confidence; missing_domain_count,AGENTS真实性规则 + P3校准门禁 + 老板材料方法边界,active_as_safety_gate,needs_review
