candidate_review_id,candidate_id,table_id,source_file,page,topic_draft,candidate_type,metric_name_draft,subject_draft,value_draft,unit_draft,source_row_text_draft,extraction_confidence,candidate_review_priority,ledger_entry_status,review_instruction,output_status
EV-REVIEW-0363,EV-CAND-0363,TBL-00058,城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,62,time_peak,time_peak,人群覆盖度,城市绿心公园,53.59%,%,08月 53.59% 47.59% 112,high,P0_flow_or_peak_numeric_check,needs_pdf_row_check_before_ledger,回查 PDF 页和表头，确认人次/小时/日期/人群口径，再决定是否入账。,needs_review
EV-REVIEW-0364,EV-CAND-0364,TBL-00058,城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,62,time_peak,time_peak,人群覆盖度,城市绿心公园,51.69%,%,01月 51.69% 46.03% 112,high,P0_flow_or_peak_numeric_check,needs_pdf_row_check_before_ledger,回查 PDF 页和表头，确认人次/小时/日期/人群口径，再决定是否入账。,needs_review
EV-REVIEW-0365,EV-CAND-0365,TBL-00058,城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,62,time_peak,time_peak,人群覆盖度,城市绿心公园,49.53%,%,05月 49.53% 46.86% 105,high,P0_flow_or_peak_numeric_check,needs_pdf_row_check_before_ledger,回查 PDF 页和表头，确认人次/小时/日期/人群口径，再决定是否入账。,needs_review
EV-REVIEW-0366,EV-CAND-0366,TBL-00058,城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,62,time_peak,time_peak,人群覆盖度,城市绿心公园,49.42%,%,07月 49.42% 42.17% 117,high,P0_flow_or_peak_numeric_check,needs_pdf_row_check_before_ledger,回查 PDF 页和表头，确认人次/小时/日期/人群口径，再决定是否入账。,needs_review
EV-REVIEW-0367,EV-CAND-0367,TBL-00058,城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,62,time_peak,time_peak,人群覆盖度,城市绿心公园,40.17%,%,06月 40.17% 35.41% 113,high,P0_flow_or_peak_numeric_check,needs_pdf_row_check_before_ledger,回查 PDF 页和表头，确认人次/小时/日期/人群口径，再决定是否入账。,needs_review
EV-REVIEW-0368,EV-CAND-0368,TBL-00058,城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,62,time_peak,time_peak,人群覆盖度,城市绿心公园,39.29%,%,09月 39.29% 39.01% 100,high,P0_flow_or_peak_numeric_check,needs_pdf_row_check_before_ledger,回查 PDF 页和表头，确认人次/小时/日期/人群口径，再决定是否入账。,needs_review
EV-REVIEW-0369,EV-CAND-0369,TBL-00058,城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,62,time_peak,time_peak,人群覆盖度,城市绿心公园,36.14%,%,02月 36.14% 33.76% 107,high,P0_flow_or_peak_numeric_check,needs_pdf_row_check_before_ledger,回查 PDF 页和表头，确认人次/小时/日期/人群口径，再决定是否入账。,needs_review
EV-REVIEW-0370,EV-CAND-0370,TBL-00058,城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,62,time_peak,time_peak,人群覆盖度,城市绿心公园,36.00%,%,04月 36.00% 30.37% 118,high,P0_flow_or_peak_numeric_check,needs_pdf_row_check_before_ledger,回查 PDF 页和表头，确认人次/小时/日期/人群口径，再决定是否入账。,needs_review
EV-REVIEW-0371,EV-CAND-0371,TBL-00058,城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,62,time_peak,time_peak,人群覆盖度,城市绿心公园,28.82%,%,03月 28.82% 24.15% 119,high,P0_flow_or_peak_numeric_check,needs_pdf_row_check_before_ledger,回查 PDF 页和表头，确认人次/小时/日期/人群口径，再决定是否入账。,needs_review
EV-REVIEW-0372,EV-CAND-0372,TBL-00058,城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,62,time_peak,time_peak,人群覆盖度,城市绿心公园,15.59%,%,10月 15.59% 13.17% 118,high,P0_flow_or_peak_numeric_check,needs_pdf_row_check_before_ledger,回查 PDF 页和表头，确认人次/小时/日期/人群口径，再决定是否入账。,needs_review
