poi_record_id,park_id,park_name,poi_name,standard_category,source_business_scopes,source_population_segments,max_source_index,avg_cost_yuan,business_area,source_table_ids,source_pages,source_ranks,source_kind,amap_poi_id,amap_type,amap_typecode,longitude,latitude,distance_m,radius_m,in_park_status,validation_status,confidence,notes
POI-0001,sample_city_green_heart,城市绿心公园,北京宴(通州大运河店),food_dining,美食,flow_population,2624,434,,TBL-00005,9,1,pdf_hot_visit_seed,,,,,,,,unknown,needs_amap_or_field_verification,medium,来自 PDF 区域内热门到访表；尚未经高德 POI 坐标、距离和营业状态核验。
POI-0002,sample_city_green_heart,城市绿心公园,熙僖小馆(副中心绿心公园店),food_dining,美食,flow_population,2079,118,,TBL-00005,9,2,pdf_hot_visit_seed,,,,,,,,unknown,needs_amap_or_field_verification,medium,来自 PDF 区域内热门到访表；尚未经高德 POI 坐标、距离和营业状态核验。
POI-0003,sample_city_green_heart,城市绿心公园,砖城徽菜,food_dining,美食,flow_population,845,203,,TBL-00005,9,4,pdf_hot_visit_seed,,,,,,,,unknown,needs_amap_or_field_verification,medium,来自 PDF 区域内热门到访表；尚未经高德 POI 坐标、距离和营业状态核验。
POI-0004,sample_city_green_heart,城市绿心公园,金鼎轩·南北家乡菜(绿心路分店),food_dining,美食,flow_population,845,95,,TBL-00005,9,3,pdf_hot_visit_seed,,,,,,,,unknown,needs_amap_or_field_verification,medium,来自 PDF 区域内热门到访表；尚未经高德 POI 坐标、距离和营业状态核验。
POI-0005,sample_olympic_forest,奥林匹克森林公园,grid coffee(奥林匹克森林公园店),coffee,娱乐休闲,working_population;flow_population,2100,,奥林匹克公园,TBL-00108;TBL-00123,30;45,4,pdf_hot_visit_seed,,,,,,,,unknown,needs_amap_or_field_verification,medium,来自 PDF 区域内热门到访表；尚未经高德 POI 坐标、距离和营业状态核验。
POI-0006,sample_olympic_forest,奥林匹克森林公园,prince国网店,retail,购物,working_population;flow_population,2709,,奥林匹克公园,TBL-00106;TBL-00121,28;43,1;4,pdf_hot_visit_seed,,,,,,,,unknown,needs_amap_or_field_verification,medium,来自 PDF 区域内热门到访表；尚未经高德 POI 坐标、距离和营业状态核验。
POI-0007,sample_olympic_forest,奥林匹克森林公园,三夫户外(奥森南门店),sports_supply,购物,working_population,1000,,奥林匹克公园,TBL-00106,28,6,pdf_hot_visit_seed,,,,,,,,unknown,needs_amap_or_field_verification,medium,来自 PDF 区域内热门到访表；尚未经高德 POI 坐标、距离和营业状态核验。
POI-0008,sample_olympic_forest,奥林匹克森林公园,动森咖啡,coffee,娱乐休闲,working_population;flow_population,2350,,奥林匹克公园,TBL-00108;TBL-00123,30;45,3;2,pdf_hot_visit_seed,,,,,,,,unknown,needs_amap_or_field_verification,medium,来自 PDF 区域内热门到访表；尚未经高德 POI 坐标、距离和营业状态核验。
POI-0009,sample_olympic_forest,奥林匹克森林公园,咿道南门涮肉(奥森店),food_dining,美食,working_population;flow_population,2915,92,奥林匹克公园,TBL-00104;TBL-00119,26;41,2;1,pdf_hot_visit_seed,,,,,,,,unknown,needs_amap_or_field_verification,medium,来自 PDF 区域内热门到访表；尚未经高德 POI 坐标、距离和营业状态核验。
POI-0010,sample_olympic_forest,奥林匹克森林公园,国家网球中心莲花球场,sports_service,运动健身,working_population;flow_population,4313,,奥林匹克公园,TBL-00109;TBL-00124,31;46,1,pdf_hot_visit_seed,,,,,,,,unknown,needs_amap_or_field_verification,medium,来自 PDF 区域内热门到访表；尚未经高德 POI 坐标、距离和营业状态核验。
POI-0011,sample_olympic_forest,奥林匹克森林公园,圣维岚运动装备(奥森店),sports_supply,购物,working_population;flow_population,2423,,奥林匹克公园,TBL-00106;TBL-00121,28;43,3,pdf_hot_visit_seed,,,,,,,,unknown,needs_amap_or_field_verification,medium,来自 PDF 区域内热门到访表；尚未经高德 POI 坐标、距离和营业状态核验。
POI-0012,sample_olympic_forest,奥林匹克森林公园,大成仓网羽专业服务店(国网南区店)·球拍穿线,sports_supply,购物,flow_population,1322,,奥林匹克公园,TBL-00121,43,6,pdf_hot_visit_seed,,,,,,,,unknown,needs_amap_or_field_verification,medium,来自 PDF 区域内热门到访表；尚未经高德 POI 坐标、距离和营业状态核验。
POI-0013,sample_olympic_forest,奥林匹克森林公园,布鲁豪斯亲子欢乐家庭餐厅,family_restaurant,美食,working_population;flow_population,2356,129,奥林匹克公园,TBL-00104;TBL-00119,26;41,3,pdf_hot_visit_seed,,,,,,,,unknown,needs_amap_or_field_verification,medium,来自 PDF 区域内热门到访表；尚未经高德 POI 坐标、距离和营业状态核验。
POI-0014,sample_olympic_forest,奥林匹克森林公园,思凯乐风尚俱乐部(北京奥林匹克公园店),retail,购物,working_population;flow_population,1643,,奥林匹克公园,TBL-00106;TBL-00121,28;43,5,pdf_hot_visit_seed,,,,,,,,unknown,needs_amap_or_field_verification,medium,来自 PDF 区域内热门到访表；尚未经高德 POI 坐标、距离和营业状态核验。
POI-0015,sample_olympic_forest,奥林匹克森林公园,悦健达专项体能·康复·普拉提运动中心,yoga_pilates,运动健身,working_population;flow_population,1579,,奥林匹克公园,TBL-00109;TBL-00124,31;46,2,pdf_hot_visit_seed,,,,,,,,unknown,needs_amap_or_field_verification,medium,来自 PDF 区域内热门到访表；尚未经高德 POI 坐标、距离和营业状态核验。
POI-0016,sample_olympic_forest,奥林匹克森林公园,新净雅(国家网球中心店),food_dining,美食,working_population;flow_population,2733,231,奥林匹克公园,TBL-00104;TBL-00119,26;41,1;2,pdf_hot_visit_seed,,,,,,,,unknown,needs_amap_or_field_verification,medium,来自 PDF 区域内热门到访表；尚未经高德 POI 坐标、距离和营业状态核验。
POI-0017,sample_olympic_forest,奥林匹克森林公园,漫咖啡(国家网球中心店),coffee,娱乐休闲,working_population;flow_population,2861,,奥林匹克公园,TBL-00108;TBL-00123,30;45,1,pdf_hot_visit_seed,,,,,,,,unknown,needs_amap_or_field_verification,medium,来自 PDF 区域内热门到访表；尚未经高德 POI 坐标、距离和营业状态核验。
POI-0018,sample_olympic_forest,奥林匹克森林公园,爱伴·布鲁豪斯游乐场,family_recreation,娱乐休闲,working_population;flow_population,2557,,奥林匹克公园,TBL-00108;TBL-00123,30;45,2;3,pdf_hot_visit_seed,,,,,,,,unknown,needs_amap_or_field_verification,medium,来自 PDF 区域内热门到访表；尚未经高德 POI 坐标、距离和营业状态核验。
POI-0019,sample_olympic_forest,奥林匹克森林公园,罗森(奥林匹克森林公园北园店),convenience_retail,购物,working_population;flow_population,3162,,奥林匹克公园,TBL-00106;TBL-00121,28;43,4;2,pdf_hot_visit_seed,,,,,,,,unknown,needs_amap_or_field_verification,medium,来自 PDF 区域内热门到访表；尚未经高德 POI 坐标、距离和营业状态核验。
POI-0020,sample_olympic_forest,奥林匹克森林公园,跑步俱乐部(奥林匹克森林公园店),retail,购物,working_population;flow_population,3377,,奥林匹克公园,TBL-00106;TBL-00121,28;43,2;1,pdf_hot_visit_seed,,,,,,,,unknown,needs_amap_or_field_verification,medium,来自 PDF 区域内热门到访表；尚未经高德 POI 坐标、距离和营业状态核验。
