checklist_id,checklist_type,source_id,park_id,park_name,target_name,target_kind,related_poi_or_node,priority,current_known_info,verification_goal_draft,on_site_questions_draft,photo_required_draft,acceptable_evidence_draft,blocking_reason_draft,p2_gate_draft,output_status,executor,model,review_gate,llm_task_id,run_id
FIELD-CHECK-001,p0_poi_business_and_authorization,P0-INPARK-001,sample_city_green_heart,城市绿心森林公园,梦奥体育,sports_supply,绿心路与运兴路交叉口西北200米,P0_business_fields_and_authorization,tel=缺失; opentime=缺失; cost_yuan=缺失; enrichment_status=detail_api_called_no_new_data,核验梦奥体育的营业时间、联系电话、人均消费等经营信息，并确认从P6停车场等入口进入公园后能否步行直达该店，以及店铺是否正常营业并持有官方授权标识。,1. 梦奥体育的实际营业时间是什么？是否有季节性调整？ 2. 联系电话是多少？是否对外公布？ 3. 人均消费大致范围是多少？ 4. 从P6停车场能否步行进入公园并直接到达梦奥体育？路线是否有障碍或封闭？ 5. 附近其他停车场（P12、P5、P7、大运河森林公园西1门）哪个可进入公园并到达目标？ 6. 梦奥体育是否在公园内正常营业？有无官方授权标识？,yes_and_reason: 需要拍摄店铺门头、营业时间告示、授权标识、入口路线关键节点照片作为证据。,照片（门头、营业时间牌、授权证明、路线指示牌）、官方牌示、现场问询记录、电话记录、园方确认。,营业时间、联系电话、人均消费缺失；入口通行路径及授权状态未核实。,do_not_enter_p2_until_field_or_official_confirmation,needs_review,deepseek,deepseek-v4-pro,p0_field_verification_checklist_review,LLM-015,20260526T025417Z
FIELD-CHECK-002,p0_poi_business_and_authorization,P0-INPARK-002,sample_olympic_forest,奥林匹克森林公园,特步跑步俱乐部(奥林匹克森林公园店),sports_supply,科荟路奥林匹克森林公园内(南侧),P1_remaining_business_fields,tel=010-64529381; opentime=周一至周日 06:30-21:30; cost_yuan=缺失; enrichment_status=detail_api_called_fields_confirmed,核验特步跑步俱乐部(奥林匹克森林公园店)的人均消费信息，确认从南园南门观光车售票厅入园后步行可达路径，并核实店名一致性与经营授权。,1. 特步跑步俱乐部(奥林匹克森林公园店)的人均消费大约是多少？ 2. 从奥林匹克森林公园南园南门观光车售票厅能否进入园区并步行到达该店？路线是否畅通？ 3. 实际店招是否与名称一致？ 4. 哪个入口是游客最常用的入园口？ 5. 该店是否悬挂合法经营许可证或公园授权标识？,yes_and_reason: 需拍摄人均消费价目表、入口至店铺的路径节点、店招、经营许可证等。,照片（人均消费展示、路径指示、店招、授权证明）、官方牌示、现场问询记录、园方确认。,人均消费缺失；入口通行路径及授权状态未核实。,do_not_enter_p2_until_field_or_official_confirmation,needs_review,deepseek,deepseek-v4-pro,p0_field_verification_checklist_review,LLM-015,20260526T025417Z
FIELD-CHECK-003,p0_poi_business_and_authorization,P0-INPARK-003,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园北园-商卖,convenience_retail,安立路奥林匹克森林公园北园体育园内,P0_business_fields_and_authorization,tel=缺失; opentime=缺失; cost_yuan=缺失; enrichment_status=detail_api_called_no_new_data,核验奥林匹克森林公园北园-商卖的营业时间、联系电话、人均消费等经营信息，确认从奥林匹克森林公园北园-体育园地面停车场(出入口)等入口通行路线，并验证其官方授权。,1. 奥林匹克森林公园北园-商卖的具体营业时间？售卖什么商品/服务？ 2. 联系电话或公园投诉电话能否联系到该商卖？ 3. 人均消费大致是多少？ 4. 从奥林匹克森林公园北园-体育园地面停车场(出入口)能否直达该商卖？是否需要绕行？ 5. 哪一个入口/停车场可以最便捷地到达该商卖？请实地测试。 6. 该商卖有无公园官方授权证明？,yes_and_reason: 拍摄营业时间告示、商品/服务价签、路线指示、授权标识等。,照片（营业时间、价目、路线节点、授权证明）、官方牌示、现场问询记录、电话记录、园方确认。,营业时间、联系电话、人均消费缺失；入口通行路径及授权未核实。,do_not_enter_p2_until_field_or_official_confirmation,needs_review,deepseek,deepseek-v4-pro,p0_field_verification_checklist_review,LLM-015,20260526T025417Z
FIELD-CHECK-004,p0_poi_business_and_authorization,P0-INPARK-004,sample_olympic_forest,奥林匹克森林公园,圣维岚运动装备奥森店,sports_supply,黑泉路103号,P1_remaining_business_fields,tel=010-64529287; opentime=周一至周日 08:00-20:00; cost_yuan=缺失; enrichment_status=detail_api_called_fields_confirmed,核验圣维岚运动装备奥森店的人均消费，确认从北园西门停车场入园可达路线，核实店名一致性及经营授权。,1. 圣维岚运动装备奥森店的人均消费是多少？ 2. 从奥林匹克森林公园北园西门停车场能否进入园内并步行到店？路线指示是否清晰？ 3. 实际店铺牌匾名称是否与登记一致？ 4. 哪个入口是游客到达该店最常用的？ 5. 该店是否有公园发放的经营许可？,yes_and_reason: 需拍摄人均消费牌、路径指示、店招、经营许可证。,照片（人均消费、路线标牌、店招、授权证明）、官方牌示、现场问询记录、园方确认。,人均消费缺失；入口通行路径及授权未核实。,do_not_enter_p2_until_field_or_official_confirmation,needs_review,deepseek,deepseek-v4-pro,p0_field_verification_checklist_review,LLM-015,20260526T025417Z
FIELD-CHECK-005,p0_poi_business_and_authorization,P0-INPARK-005,sample_olympic_forest,奥林匹克森林公园,LAWSON罗森(奥林匹克森林公园北园店),convenience_retail,科荟路33号奥林匹克森林公园北园(东侧),P1_remaining_business_fields,tel=15811085203; opentime=周一至周日 07:00-20:00; cost_yuan=缺失; enrichment_status=detail_api_called_fields_confirmed,核验罗森(奥林匹克森林公园北园店)的人均消费，确认从北园北门地面停车场入园可达性，核实店名及经营授权。,1. 罗森奥林匹克森林公园北园店的人均消费大约是多少？ 2. 从北园北门地面停车场(出入口)进入公园后能否直达罗森？路径是否允许游客通行？ 3. 实际店名是否与登记一致？ 4. 是否有其它更方便的入园口可到达此店？ 5. 店内是否展示公园经营许可证？,yes_and_reason: 拍摄人均消费价签、入口至店铺的路径指示、店招、许可证。,照片（消费指引、路径节点、店招、授权证明）、官方牌示、现场问询记录、园方确认。,人均消费缺失；入口通行路径及授权未核实。,do_not_enter_p2_until_field_or_official_confirmation,needs_review,deepseek,deepseek-v4-pro,p0_field_verification_checklist_review,LLM-015,20260526T025417Z
FIELD-CHECK-006,p0_poi_business_and_authorization,P0-INPARK-006,sample_olympic_forest,奥林匹克森林公园,以沫咖啡,coffee;cold_drink,奥体森林公园南门西侧以沫咖啡,P1_remaining_business_fields,tel=缺失; opentime=缺失; cost_yuan=29.00; enrichment_status=detail_api_called_fields_confirmed,核验以沫咖啡的营业时间与联系电话，确认从南园南门观光车售票厅入园路径，并核实授权标识。,1. 以沫咖啡的营业时间是什么？是否有节假日变动？ 2. 联系电话是多少？是否对外公开？ 3. 从南园南门观光车售票厅能否进入并直达咖啡店？需要多长时间？ 4. 哪个入口是游客使用最多的通往该咖啡店的路径？ 5. 咖啡店是否有公园授权经营标识？,yes_and_reason: 需拍摄营业时间告示、联系电话展示、路径指示、授权标识。,照片（营业时间、联系电话牌、路径节点、授权证明）、官方牌示、现场问询记录、电话记录、园方确认。,营业时间、联系电话缺失；入口通行路径及授权未核实。,do_not_enter_p2_until_field_or_official_confirmation,needs_review,deepseek,deepseek-v4-pro,p0_field_verification_checklist_review,LLM-015,20260526T025417Z
FIELD-CHECK-007,p0_poi_business_and_authorization,P0-INPARK-007,sample_olympic_forest,奥林匹克森林公园,赛百味(北顶奥森店),fast_food,林萃路4号,P1_remaining_business_fields,tel=缺失; opentime=周一至周五 08:30-19:00；周六至周日 08:30-20:00; cost_yuan=27.00; enrichment_status=detail_api_called_fields_confirmed,核验赛百味(北顶奥森店)的联系电话，确认从奥林匹克森林公园-西门站入园可达性，并核实经营授权。,1. 赛百味(北顶奥森店)的联系电话是多少？ 2. 从奥林匹克森林公园-西门站能否步行进入公园并到达店铺？是否需要门票？ 3. 是否有更直接的入园路线？ 4. 该店是否有公园经营许可证照？,yes_and_reason: 拍摄联系电话公示牌、入口至店铺的路径、许可证照。,照片（联系电话、路径指示、许可证）、官方牌示、现场问询记录、电话记录、园方确认。,联系电话缺失；入口通行路径及授权未核实。,do_not_enter_p2_until_field_or_official_confirmation,needs_review,deepseek,deepseek-v4-pro,p0_field_verification_checklist_review,LLM-015,20260526T025417Z
FIELD-CHECK-008,primary_access_node_field_check,NODE-SEM-REVIEW-0010,sample_city_green_heart,城市绿心森林公园,城市绿心森林公园P6停车场(出入口),parking_access_node,梦奥体育,P0_manual_check_gate_or_entrance,type=交通设施服务;停车场;停车场出入口; address=绿心路与运兴路交叉口东160米; final_use_gate=candidate_access_node_needs_official_or_field_confirmation,现场核验城市绿心森林公园P6停车场(出入口)是否为官方认可的公园入口或出入口。,现场查看P6停车场(出入口)是否设有公园官方标识、闸机或售票处，游客能否从此处直接进入公园。,yes_and_reason: 拍摄出入口全景、官方标识、闸机状态。,照片（出入口全景、官方标识）、官方牌示、现场问询记录、园方确认。,该节点入口/出入口官方身份待现场确认。,do_not_enter_p2_until_field_or_official_confirmation,needs_review,deepseek,deepseek-v4-pro,p0_field_verification_checklist_review,LLM-015,20260526T025417Z
FIELD-CHECK-009,primary_access_node_field_check,NODE-SEM-REVIEW-0013,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园-南门站,transit_or_station_node,特步跑步俱乐部(奥林匹克森林公园店);奥林匹克森林公园北园-商卖;圣维岚运动装备奥森店;LAWSON罗森(奥林匹克森林公园北园店);以沫咖啡;赛百味(北顶奥森店),P0_manual_check_gate_or_entrance,type=交通设施服务;交通服务相关;交通服务相关; address=科荟路33号奥林匹克森林公园南园东南角; final_use_gate=candidate_access_node_needs_official_or_field_confirmation,现场核验奥林匹克森林公园-南门站是否为官方认可的公园入口或交通节点。,查看南门站是否有公园入口标志、通行闸机或售票设施，是否允许游客从该站进入园区。,yes_and_reason: 拍摄站点周边入口标识、通行设施。,照片（入口标识、闸机、售票处）、官方牌示、现场问询记录、园方确认。,该节点入口官方身份待现场确认。,do_not_enter_p2_until_field_or_official_confirmation,needs_review,deepseek,deepseek-v4-pro,p0_field_verification_checklist_review,LLM-015,20260526T025417Z
FIELD-CHECK-010,primary_access_node_field_check,NODE-SEM-REVIEW-0015,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园-西门站,transit_or_station_node,特步跑步俱乐部(奥林匹克森林公园店);奥林匹克森林公园北园-商卖;圣维岚运动装备奥森店;LAWSON罗森(奥林匹克森林公园北园店);以沫咖啡;赛百味(北顶奥森店),P0_manual_check_gate_or_entrance,type=交通设施服务;交通服务相关;交通服务相关; address=科荟路33号奥林匹克森林公园南园内(西侧); final_use_gate=candidate_access_node_needs_official_or_field_confirmation,现场核验奥林匹克森林公园-西门站是否为官方认可的公园入口或交通节点。,观察西门站是否有明确的公园入口指引、闸机或售票窗口，游客能否从此进入公园。,yes_and_reason: 拍摄站点入口标识、闸机等。,照片（入口标识、闸机）、官方牌示、现场问询记录、园方确认。,该节点入口官方身份待现场确认。,do_not_enter_p2_until_field_or_official_confirmation,needs_review,deepseek,deepseek-v4-pro,p0_field_verification_checklist_review,LLM-015,20260526T025417Z
FIELD-CHECK-011,primary_access_node_field_check,NODE-SEM-REVIEW-0038,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园北园-体育园地面停车场(出入口),parking_access_node,特步跑步俱乐部(奥林匹克森林公园店);奥林匹克森林公园北园-商卖;圣维岚运动装备奥森店;LAWSON罗森(奥林匹克森林公园北园店);以沫咖啡;赛百味(北顶奥森店),P0_manual_check_gate_or_entrance,type=交通设施服务;停车场;停车场出入口; address=奥林匹克森林公园北园-体育园地面停车场; final_use_gate=candidate_access_node_needs_official_or_field_confirmation,现场核验奥林匹克森林公园北园-体育园地面停车场(出入口)是否为官方入口或出入口。,查看该停车场出入口是否具有公园官方入口标志、能否直接进入公园内部。,yes_and_reason: 拍摄出入口全景及官方标识。,照片（出入口、官方标识）、官方牌示、现场问询记录、园方确认。,该节点入口官方身份待现场确认。,do_not_enter_p2_until_field_or_official_confirmation,needs_review,deepseek,deepseek-v4-pro,p0_field_verification_checklist_review,LLM-015,20260526T025417Z
FIELD-CHECK-012,primary_access_node_field_check,NODE-SEM-REVIEW-0034,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园北园-南门站游乐车电瓶车售票处,transit_or_station_node,特步跑步俱乐部(奥林匹克森林公园店);奥林匹克森林公园北园-商卖;圣维岚运动装备奥森店;LAWSON罗森(奥林匹克森林公园北园店);以沫咖啡;赛百味(北顶奥森店),P0_manual_check_gate_or_entrance,type=生活服务;售票处;售票处; address=科荟路33号奥林匹克森林公园北园(东侧); final_use_gate=candidate_access_node_needs_official_or_field_confirmation,现场核验奥林匹克森林公园北园-南门站游乐车电瓶车售票处是否为官方入口或交通节点。,检查售票处是否作为游客入园通道，是否有闸机或指引牌。,yes_and_reason: 拍摄售票处入口环境、闸机或标识。,照片（入口、售票处、指示牌）、官方牌示、现场问询记录、园方确认。,该节点入口官方身份待现场确认。,do_not_enter_p2_until_field_or_official_confirmation,needs_review,deepseek,deepseek-v4-pro,p0_field_verification_checklist_review,LLM-015,20260526T025417Z
FIELD-CHECK-013,primary_access_node_field_check,NODE-SEM-REVIEW-0030,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园北园东门1号停车场,parking_access_node,特步跑步俱乐部(奥林匹克森林公园店);奥林匹克森林公园北园-商卖;圣维岚运动装备奥森店;LAWSON罗森(奥林匹克森林公园北园店);以沫咖啡;赛百味(北顶奥森店),P0_manual_check_gate_or_entrance,type=交通设施服务;停车场;公共停车场; address=安立路25号; final_use_gate=candidate_access_node_needs_official_or_field_confirmation,现场核验奥林匹克森林公园北园东门1号停车场是否为官方认可的入口或停车场出入口。,查看该停车场是否设有通往公园的入口，有无官方标识或闸机。,yes_and_reason: 拍摄停车场入口及公园入口指示。,照片（停车场出入口、入园标识）、官方牌示、现场问询记录、园方确认。,该节点入口官方身份待现场确认。,do_not_enter_p2_until_field_or_official_confirmation,needs_review,deepseek,deepseek-v4-pro,p0_field_verification_checklist_review,LLM-015,20260526T025417Z
FIELD-CHECK-014,primary_access_node_field_check,NODE-SEM-REVIEW-0029,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园北园东门1号停车场(入口),parking_access_node,特步跑步俱乐部(奥林匹克森林公园店);奥林匹克森林公园北园-商卖;圣维岚运动装备奥森店;LAWSON罗森(奥林匹克森林公园北园店);以沫咖啡;赛百味(北顶奥森店),P0_manual_check_gate_or_entrance,type=交通设施服务;停车场;停车场入口; address=安立路25号奥森N2车场; final_use_gate=candidate_access_node_needs_official_or_field_confirmation,现场核验奥林匹克森林公园北园东门1号停车场(入口)是否为官方入口。,确认该入口是否作为公园游客步行或驾车入院的正规通道。,yes_and_reason: 拍摄入口标识和通行设施。,照片（入口标识、闸机）、官方牌示、现场问询记录、园方确认。,该节点入口官方身份待现场确认。,do_not_enter_p2_until_field_or_official_confirmation,needs_review,deepseek,deepseek-v4-pro,p0_field_verification_checklist_review,LLM-015,20260526T025417Z
FIELD-CHECK-015,primary_access_node_field_check,NODE-SEM-REVIEW-0031,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园北园东门1号停车场(出口),parking_access_node,特步跑步俱乐部(奥林匹克森林公园店);奥林匹克森林公园北园-商卖;圣维岚运动装备奥森店;LAWSON罗森(奥林匹克森林公园北园店);以沫咖啡;赛百味(北顶奥森店),P0_manual_check_gate_or_entrance,type=交通设施服务;停车场;停车场出口; address=安立路25号奥森N2车场; final_use_gate=candidate_access_node_needs_official_or_field_confirmation,现场核验奥林匹克森林公园北园东门1号停车场(出口)是否为官方出口或入口。,观察该出口是否可作为游客入园通道，有无相应标识。,yes_and_reason: 拍摄出口标识及周边通行环境。,照片（出口标识、通行状态）、官方牌示、现场问询记录、园方确认。,该节点入口官方身份待现场确认。,do_not_enter_p2_until_field_or_official_confirmation,needs_review,deepseek,deepseek-v4-pro,p0_field_verification_checklist_review,LLM-015,20260526T025417Z
FIELD-CHECK-016,primary_access_node_field_check,NODE-SEM-REVIEW-0035,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园北园北门地面停车场,parking_access_node,特步跑步俱乐部(奥林匹克森林公园店);奥林匹克森林公园北园-商卖;圣维岚运动装备奥森店;LAWSON罗森(奥林匹克森林公园北园店);以沫咖啡;赛百味(北顶奥森店),P0_manual_check_gate_or_entrance,type=交通设施服务;停车场;公共停车场; address=清林东路与清林路交叉口东南50米; final_use_gate=candidate_access_node_needs_official_or_field_confirmation,现场核验奥林匹克森林公园北园北门地面停车场是否为官方停车场及入口。,确认该停车场是否提供入园通道，是否有官方标识。,yes_and_reason: 拍摄停车场与公园连接处标识。,照片（停车场入口、入园指示）、官方牌示、现场问询记录、园方确认。,该节点入口官方身份待现场确认。,do_not_enter_p2_until_field_or_official_confirmation,needs_review,deepseek,deepseek-v4-pro,p0_field_verification_checklist_review,LLM-015,20260526T025417Z
FIELD-CHECK-017,primary_access_node_field_check,NODE-SEM-REVIEW-0025,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园北园北门地面停车场(出入口),parking_access_node,特步跑步俱乐部(奥林匹克森林公园店);奥林匹克森林公园北园-商卖;圣维岚运动装备奥森店;LAWSON罗森(奥林匹克森林公园北园店);以沫咖啡;赛百味(北顶奥森店),P0_manual_check_gate_or_entrance,type=交通设施服务;停车场;停车场出入口; address=奥林匹克森林公园北园北门地面停车场; final_use_gate=candidate_access_node_needs_official_or_field_confirmation,现场核验奥林匹克森林公园北园北门地面停车场(出入口)是否为官方入口或出入口。,查看停车场出入口是否设有公园官方入口牌示。,yes_and_reason: 拍摄出入口全景及官方标识。,照片（出入口、官方标识）、官方牌示、现场问询记录、园方确认。,该节点入口官方身份待现场确认。,do_not_enter_p2_until_field_or_official_confirmation,needs_review,deepseek,deepseek-v4-pro,p0_field_verification_checklist_review,LLM-015,20260526T025417Z
FIELD-CHECK-018,primary_access_node_field_check,NODE-SEM-REVIEW-0026,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园北园南门停车场(入口),parking_access_node,特步跑步俱乐部(奥林匹克森林公园店);奥林匹克森林公园北园-商卖;圣维岚运动装备奥森店;LAWSON罗森(奥林匹克森林公园北园店);以沫咖啡;赛百味(北顶奥森店),P0_manual_check_gate_or_entrance,type=交通设施服务;停车场;停车场入口; address=安立路奥林匹克森林公园北园内(东南角); final_use_gate=candidate_access_node_needs_official_or_field_confirmation,现场核验奥林匹克森林公园北园南门停车场(入口)是否为官方入口。,确认该入口是否允许游客步行进入公园。,yes_and_reason: 拍摄入口标识及通行设施。,照片（入口标识、闸机）、官方牌示、现场问询记录、园方确认。,该节点入口官方身份待现场确认。,do_not_enter_p2_until_field_or_official_confirmation,needs_review,deepseek,deepseek-v4-pro,p0_field_verification_checklist_review,LLM-015,20260526T025417Z
FIELD-CHECK-019,primary_access_node_field_check,NODE-SEM-REVIEW-0027,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园北园西门停车场,parking_access_node,特步跑步俱乐部(奥林匹克森林公园店);奥林匹克森林公园北园-商卖;圣维岚运动装备奥森店;LAWSON罗森(奥林匹克森林公园北园店);以沫咖啡;赛百味(北顶奥森店),P0_manual_check_gate_or_entrance,type=交通设施服务;停车场;公共停车场; address=安立路奥林匹克森林公园北园内(西侧); final_use_gate=candidate_access_node_needs_official_or_field_confirmation,现场核验奥林匹克森林公园北园西门停车场是否为官方入口并提供入园通道。,观察停车场是否有明显的公园入口指引。,yes_and_reason: 拍摄停车场与公园连接口标识。,照片（连接口标识）、官方牌示、现场问询记录、园方确认。,该节点入口官方身份待现场确认。,do_not_enter_p2_until_field_or_official_confirmation,needs_review,deepseek,deepseek-v4-pro,p0_field_verification_checklist_review,LLM-015,20260526T025417Z
FIELD-CHECK-020,primary_access_node_field_check,NODE-SEM-REVIEW-0028,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园北园西门停车场(入口),parking_access_node,特步跑步俱乐部(奥林匹克森林公园店);奥林匹克森林公园北园-商卖;圣维岚运动装备奥森店;LAWSON罗森(奥林匹克森林公园北园店);以沫咖啡;赛百味(北顶奥森店),P0_manual_check_gate_or_entrance,type=交通设施服务;停车场;停车场入口; address=奥森N6车场; final_use_gate=candidate_access_node_needs_official_or_field_confirmation,现场核验奥林匹克森林公园北园西门停车场(入口)是否为官方入口。,检查该入口是否作为公园正规入口使用。,yes_and_reason: 拍摄入口标识和闸机。,照片（入口标识、闸机）、官方牌示、现场问询记录、园方确认。,该节点入口官方身份待现场确认。,do_not_enter_p2_until_field_or_official_confirmation,needs_review,deepseek,deepseek-v4-pro,p0_field_verification_checklist_review,LLM-015,20260526T025417Z
FIELD-CHECK-021,primary_access_node_field_check,NODE-SEM-REVIEW-0021,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园南园-东门站,transit_or_station_node,特步跑步俱乐部(奥林匹克森林公园店);奥林匹克森林公园北园-商卖;圣维岚运动装备奥森店;LAWSON罗森(奥林匹克森林公园北园店);以沫咖啡;赛百味(北顶奥森店),P0_manual_check_gate_or_entrance,type=风景名胜;风景名胜相关;旅游景点; address=科荟路33号奥林匹克森林公园南园内(东侧); final_use_gate=candidate_access_node_needs_official_or_field_confirmation,现场核验奥林匹克森林公园南园-东门站是否为官方认可的入口或交通节点。,查看东门站是否设有公园入口标志、闸机或售票设施。,yes_and_reason: 拍摄站点入口标识及通行设施。,照片（入口标识、闸机）、官方牌示、现场问询记录、园方确认。,该节点入口官方身份待现场确认。,do_not_enter_p2_until_field_or_official_confirmation,needs_review,deepseek,deepseek-v4-pro,p0_field_verification_checklist_review,LLM-015,20260526T025417Z
FIELD-CHECK-022,primary_access_node_field_check,NODE-SEM-REVIEW-0023,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园南园东门停车场,parking_access_node,特步跑步俱乐部(奥林匹克森林公园店);奥林匹克森林公园北园-商卖;圣维岚运动装备奥森店;LAWSON罗森(奥林匹克森林公园北园店);以沫咖啡;赛百味(北顶奥森店),P0_manual_check_gate_or_entrance,type=交通设施服务;停车场;公共停车场; address=科荟路33号奥林匹克森林公园南园内(东侧); final_use_gate=candidate_access_node_needs_official_or_field_confirmation,现场核验奥林匹克森林公园南园东门停车场是否为官方停车场及入口。,确认该停车场能否直接进入公园。,yes_and_reason: 拍摄停车场与公园连接通道标识。,照片（连接通道、标识）、官方牌示、现场问询记录、园方确认。,该节点入口官方身份待现场确认。,do_not_enter_p2_until_field_or_official_confirmation,needs_review,deepseek,deepseek-v4-pro,p0_field_verification_checklist_review,LLM-015,20260526T025417Z
