path,bytes,suffix,parsed,json_records,sample_type,first_keys,output_status_values_sample,contract_state,parse_error
60_model/llm_runs/deepseek_entrance_node_semantic_progress.json,190,.json,True,1,dict,chunk_size|classified_rows|raw_chunks|remaining_rows|run_id|total_rows|updated_at,,old_progress_state_not_contract,
60_model/llm_runs/deepseek_entrance_node_semantic_raw.jsonl,20680,.jsonl,True,6,dict,chunk_index|executor|input_node_candidate_ids|model|output_status|response_excerpt|run_id|task_id|task_name,draft,old_raw_jsonl_needs_adapter,
60_model/llm_runs/deepseek_evidence_candidates_progress.json,222,.json,True,1,dict,candidate_rows|chunk_size|completed_tables|raw_chunks|remaining_tables|run_id|total_tables|updated_at,,old_progress_state_not_contract,
60_model/llm_runs/deepseek_evidence_candidates_raw.jsonl,300288,.jsonl,True,63,dict,chunk_index|executor|input_table_ids|model|output_status|response_excerpt|run_id|task_id|task_name,needs_review,old_raw_jsonl_needs_adapter,
60_model/llm_runs/deepseek_p0_detail_query_plan_progress.json,198,.json,True,1,dict,output_status|plan_rows|raw_chunks|remaining_rows|run_id|updated_at|work_items,needs_review,old_progress_state_not_contract,
60_model/llm_runs/deepseek_p0_detail_query_plan_raw.jsonl,4625,.jsonl,True,1,dict,executor|input_work_item_ids|model|output_status|response_excerpt|run_id|task_id|task_name,needs_review,old_raw_jsonl_needs_adapter,
60_model/llm_runs/deepseek_p0_field_verification_checklist_progress.json,201,.json,True,1,dict,checklist_rows|node_items|output_status|raw_chunks|run_id|updated_at|work_items,needs_review,old_progress_state_not_contract,
60_model/llm_runs/deepseek_p0_field_verification_checklist_raw.jsonl,10320,.jsonl,True,1,dict,executor|input_source_ids|model|output_status|response_excerpt|run_id|task_id|task_name,needs_review,old_raw_jsonl_needs_adapter,
60_model/llm_runs/deepseek_p0_verification_package_progress.json,165,.json,True,1,dict,package_rows|raw_chunks|remaining_rows|run_id|updated_at|work_items,,old_progress_state_not_contract,
60_model/llm_runs/deepseek_p0_verification_package_raw.jsonl,8146,.jsonl,True,1,dict,executor|input_work_item_ids|model|output_status|response_excerpt|run_id|task_id|task_name,needs_review,old_raw_jsonl_needs_adapter,
60_model/llm_runs/deepseek_p1_quality_report_progress.json,258,.json,True,1,dict,business_fill_rows|enriched_work_rows|evidence_rows|field_checklist_rows|output_status|run_id|updated_at|verification_checks,needs_review,old_progress_state_not_contract,
60_model/llm_runs/deepseek_p1_quality_report_raw.jsonl,5373,.jsonl,True,1,dict,executor|input_paths|model|output_status|response_excerpt|run_id|task_id|task_name,needs_review,old_raw_jsonl_needs_adapter,
60_model/llm_runs/deepseek_p2_completion_readiness_audit_progress.json,211,.json,True,1,dict,blocking_gaps|handoff_risks|output_status|ready_items|recommended_outputs|run_id|updated_at,needs_review,old_progress_state_not_contract,
60_model/llm_runs/deepseek_p2_completion_readiness_audit_raw.jsonl,3929,.jsonl,True,1,dict,model|response_excerpt|run_id|task_id,,old_raw_jsonl_needs_adapter,
60_model/llm_runs/deepseek_p2_geometry_proxy_audit_progress.json,148,.json,True,1,dict,dwg_conversion_rows|limitation_rows|output_status|run_id|zone_rows,needs_review,old_progress_state_not_contract,
60_model/llm_runs/deepseek_p2_geometry_proxy_audit_raw.jsonl,5745,.jsonl,True,1,dict,model|response_excerpt|run_id|task_id,,old_raw_jsonl_needs_adapter,
60_model/llm_runs/deepseek_p2_input_schema_candidates_progress.json,202,.json,True,1,dict,assumption_rows|gap_rows|node_rows|output_status|run_id|spatial_rows|updated_at,needs_review,old_progress_state_not_contract,
60_model/llm_runs/deepseek_p2_input_schema_candidates_raw.jsonl,8312,.jsonl,True,1,dict,assumption_rows|executor|gap_rows|model|node_rows|output_status|response_excerpt|run_id|spatial_rows|task_id|task_name,needs_review,old_raw_jsonl_needs_adapter,
60_model/llm_runs/deepseek_p2_real_site_semantic_progress.json,177,.json,True,1,dict,docx_semantic_rows|output_status|pdf_spatial_label_rows|run_id|updated_at,needs_review,old_progress_state_not_contract,
60_model/llm_runs/deepseek_p2_real_site_semantic_raw.jsonl,9703,.jsonl,True,1,dict,docx_rows|executor|input_paths|model|output_status|pdf_rows|response_excerpt|run_id|task_id|task_name,needs_review,old_raw_jsonl_needs_adapter,
60_model/llm_runs/deepseek_p2_source_coverage_audit_progress.json,268,.json,True,1,dict,assumption_rows|boundary_rows|gap_rows|matrix_rows|node_rows|output_status|run_id|source_rows|spatial_rows|updated_at,needs_review,old_progress_state_not_contract,
60_model/llm_runs/deepseek_p2_source_coverage_audit_raw.jsonl,2092,.jsonl,True,1,dict,model|response_excerpt|run_id|task_id,,old_raw_jsonl_needs_adapter,
60_model/llm_runs/deepseek_p3_calibration_execution_package_progress.json,177,.json,True,1,dict,acceptance_rows|blocker_rows|evidence_rows|gate_rows|limit_rows|output_status|task_id,needs_review,old_progress_state_not_contract,
60_model/llm_runs/deepseek_p3_calibration_execution_package_raw.jsonl,27331,.jsonl,True,1,dict,response|task_id,,old_raw_jsonl_needs_adapter,
60_model/llm_runs/deepseek_p3_prework_package_progress.json,580,.json,True,1,dict,calibration_rows|dwg_work_rows|executor|llm_task_id|mapping_rows|model|output_status|p4_skeleton_rows|route_rows|run_id|summary,needs_review,old_progress_state_not_contract,
60_model/llm_runs/deepseek_p3_prework_package_raw.jsonl,6666,.jsonl,True,1,dict,model|response_excerpt|run_id|task_id,,old_raw_jsonl_needs_adapter,
60_model/llm_runs/deepseek_p4_feedback_draft_progress.json,130,.json,True,1,dict,node_rows|output_status|request_rows|scenario_rows|task_id,needs_review,old_progress_state_not_contract,
60_model/llm_runs/deepseek_p4_feedback_draft_raw.jsonl,16582,.jsonl,True,1,dict,response|task_id,,old_raw_jsonl_needs_adapter,
60_model/llm_runs/deepseek_p4_premature_audit_raw.jsonl,921,.jsonl,True,1,dict,response|task_id,,old_raw_jsonl_needs_adapter,
60_model/llm_runs/deepseek_project_context_sync_latest.json,7684,.json,True,1,dict,codex_minimal_role|delegation_policy|gate_delegation|immediate_next_step|output_status|phase_assessment|run_id|task_queue,needs_review,old_latest_json_needs_review,
60_model/llm_runs/deepseek_project_context_sync_progress.json,215,.json,True,1,dict,context_csv_files|context_text_files|output_status|raw_chunks|run_id|task_queue_rows|updated_at,needs_review,old_progress_state_not_contract,
60_model/llm_runs/deepseek_project_context_sync_raw.jsonl,7996,.jsonl,True,1,dict,context_files|executor|model|output_status|response_excerpt|run_id|task_id|task_name,needs_review,old_raw_jsonl_needs_adapter,
60_model/llm_runs/deepseek_smoke_test_latest.json,564,.json,True,1,dict,executor|expected_output_status|model|notes|response_excerpt|run_at|status|task_id|task_name,,old_latest_json_needs_review,
60_model/llm_runs/deepseek_table_classification_progress.json,172,.json,True,1,dict,chunk_size|classified_rows|remaining_rows|run_id|total_rows|updated_at,,old_progress_state_not_contract,
