spatial_label_candidate_id,source_label_id,label_text,label_type,spatial_role,geometry_status,source_file,page,p2_use,output_status,executor,llm_task_id
P2-SPATIAL-001,P2-PDF-LABEL-001,林萃路,road,boundary_road_west,pdf_text_label_only_pending_dwg_conversion,CAD图及其计划/奥森北园(字体放大)-改造建筑示意-Model(1).pdf,1,spatial_label_candidate_for_manual_mapping,needs_review,deepseek,LLM-018
P2-SPATIAL-002,P2-PDF-LABEL-002,北五环辅路,road,boundary_road_south,pdf_text_label_only_pending_dwg_conversion,CAD图及其计划/奥森北园(字体放大)-改造建筑示意-Model(1).pdf,1,spatial_label_candidate_for_manual_mapping,needs_review,deepseek,LLM-018
P2-SPATIAL-003,P2-PDF-LABEL-003,仰山沟,water_green,water_body_internal,pdf_text_label_only_pending_dwg_conversion,CAD图及其计划/奥森北园(字体放大)-改造建筑示意-Model(1).pdf,1,spatial_label_candidate_for_manual_mapping,needs_review,deepseek,LLM-018
P2-SPATIAL-004,P2-PDF-LABEL-004,奥林西桥,bridge_or_gate,bridge_node,pdf_text_label_only_pending_dwg_conversion,CAD图及其计划/奥森北园(字体放大)-改造建筑示意-Model(1).pdf,1,spatial_label_candidate_for_manual_mapping,needs_review,deepseek,LLM-018
P2-SPATIAL-005,P2-PDF-LABEL-005,停车场,parking,parking_area,pdf_text_label_only_pending_dwg_conversion,CAD图及其计划/奥森北园(字体放大)-改造建筑示意-Model(1).pdf,1,spatial_label_candidate_for_manual_mapping,needs_review,deepseek,LLM-018
P2-SPATIAL-006,P2-PDF-LABEL-006,运动场,sports,sports_field,pdf_text_label_only_pending_dwg_conversion,CAD图及其计划/奥森北园(字体放大)-改造建筑示意-Model(1).pdf,1,spatial_label_candidate_for_manual_mapping,needs_review,deepseek,LLM-018
P2-SPATIAL-007,P2-PDF-LABEL-007,足球场,sports,football_field,pdf_text_label_only_pending_dwg_conversion,CAD图及其计划/奥森北园(字体放大)-改造建筑示意-Model(1).pdf,1,spatial_label_candidate_for_manual_mapping,needs_review,deepseek,LLM-018
P2-SPATIAL-008,P2-PDF-LABEL-008,篮球场,sports,basketball_court,pdf_text_label_only_pending_dwg_conversion,CAD图及其计划/奥森北园(字体放大)-改造建筑示意-Model(1).pdf,1,spatial_label_candidate_for_manual_mapping,needs_review,deepseek,LLM-018
P2-SPATIAL-009,P2-PDF-LABEL-009,羽毛球气膜馆,sports,indoor_sports_venue,pdf_text_label_only_pending_dwg_conversion,CAD图及其计划/奥森北园(字体放大)-改造建筑示意-Model(1).pdf,1,spatial_label_candidate_for_manual_mapping,needs_review,deepseek,LLM-018
P2-SPATIAL-010,P2-PDF-LABEL-010,游乐场,recreation,children_playground,pdf_text_label_only_pending_dwg_conversion,CAD图及其计划/奥森北园(字体放大)-改造建筑示意-Model(1).pdf,1,spatial_label_candidate_for_manual_mapping,needs_review,deepseek,LLM-018
