semantic_id,source_id,source_file,project_name,area_sqm,semantic_type,category,extracted_value,source_excerpt,p2_use,quality_status,output_status,executor,llm_task_id
P2-DOCX-SEM-001,P2SRC-004,CAD图及其计划/奥森重点项目策划思路20260521.docx,项目一：桃花源（白房子155㎡）,155,project_scope,定位,公园内的多功能活动据点，以“活动+轻餐”为核心。打造为网红打卡点、婚礼/摄影热门场地、亲子/团建活动基地。,"1. 定位
公园内的多功能活动据点，以“活动+轻餐”为核心。
打造为网红打卡点、婚礼/摄影热门场地、亲子/团建活动基地。",明确项目核心定位，用于场景假设和业态组合推演,needs_review,needs_review,deepseek,LLM-017
P2-DOCX-SEM-002,P2SRC-004,CAD图及其计划/奥森重点项目策划思路20260521.docx,项目一：桃花源（白房子155㎡）,155,scene_assumption,功能规划-活动类,小型婚礼、婚纱摄影；生日聚会（儿童/成人）；同学聚会、团建活动、研学课堂；艺术沙龙、冷餐会、新品发布会。,"活动类：
小型婚礼、婚纱摄影
生日聚会（儿童/成人）
同学聚会、团建活动、研学课堂
艺术沙龙、冷餐会、新品发布会",定义可承载的业态和活动类型，用于经营参数假设,needs_review,needs_review,deepseek,LLM-017
P2-DOCX-SEM-003,P2SRC-004,CAD图及其计划/奥森重点项目策划思路20260521.docx,项目一：桃花源（白房子155㎡）,155,business_format,功能规划-日常经营,咖啡、茶饮、简餐（三明治、甜点、冰淇淋）；季节限定：花季下午茶、冬日热饮。,"日常经营类：
咖啡、茶饮、简餐（三明治、甜点、冰淇淋）
季节限定：花季下午茶、冬日热饮",确定日常收入模型基础业态,needs_review,needs_review,deepseek,LLM-017
P2-DOCX-SEM-004,P2SRC-004,CAD图及其计划/奥森重点项目策划思路20260521.docx,项目一：桃花源（白房子155㎡）,155,renovation_suggestion,改造建议,加盖阳光房（在硬质地面加建玻璃房）、外立面美化（木格栅、爬藤植物、暖色灯光）、景观整合（木平台、秋千、打卡相框）。,"加盖阳光房：申请在建筑前硬质地面加建玻璃房，不破坏原有风貌，增加可用面积。
外立面美化：白色外墙增加木格栅、爬藤植物、暖色灯光，夜间成为“发光盒子”。
景观整合：铺设木平台连接广场与花海，设置秋千、打卡相框等装置。",为空间改造方案提供设计方向和评估改造可行性,needs_review,needs_review,deepseek,LLM-017
P2-DOCX-SEM-005,P2SRC-004,CAD图及其计划/奥森重点项目策划思路20260521.docx,项目一：桃花源（白房子155㎡）,155,benchmark_case,对标案例,紫玉山庄“草坪婚礼+会所”模式（北京朝阳），草坪婚礼+会所，对外出租婚礼、私人派对，白房子作新娘化妆间+冷餐区，草坪作仪式区。,"案例：紫玉山庄“草坪婚礼+会所”模式（北京朝阳）
项目概况：紫玉山庄为高端别墅区，内设草坪、湖畔小楼，对外出租举办婚礼、私人派对。
借鉴点：
将白房子作为“新娘化妆间+冷餐准备区”，草坪作为仪式区，实现“建筑+户外”一体化租赁。",参考同类项目运营模式，对接收入与客流逻辑,needs_review,needs_review,deepseek,LLM-017
P2-DOCX-SEM-006,P2SRC-004,CAD图及其计划/奥森重点项目策划思路20260521.docx,项目一：桃花源（白房子155㎡）,155,cooperation_mode,合作模式,整体租赁给一家运营公司，租期5-8年，纯租金（含物业费），优惠条件另议。,"三、合作模式
整体租赁给一家运营公司，租期5-8年，纯租金（含物业费），优惠条件另议。",作为合作模式输入，用于财务模型中的租金设定参考,needs_review,needs_review,deepseek,LLM-017
P2-DOCX-SEM-007,P2SRC-004,CAD图及其计划/奥森重点项目策划思路20260521.docx,项目二：奥运廉洁主题展馆（575.72㎡）,575.72,project_scope,定位,“身心疗愈中心”——引入德国精密检测设备+自然疗愈方案，打造北京公园内健康管理地标。,"1. 定位
“身心疗愈中心”——引入德国精密检测设备+自然疗愈方案，打造北京公园内健康管理地标。",确定项目健康管理核心功能，为业态参数和场景设计提供依据,needs_review,needs_review,deepseek,LLM-017
P2-DOCX-SEM-008,P2SRC-004,CAD图及其计划/奥森重点项目策划思路20260521.docx,项目二：奥运廉洁主题展馆（575.72㎡）,575.72,scene_assumption,功能规划-模块,接待大厅+健康展厅、检测区（德国生物共振仪等）、疗愈室（光疗、声疗、能量舱）、功法/瑜伽室、营养咨询+茶吧、VIP休息区、办公室+设备间。,"模块	内容
接待大厅+健康展厅	品牌展示、客户接待、健康食品销售
检测区	德国生物共振仪、经络检测、心率变异分析等
疗愈室	光疗、声疗、能量舱
功法/瑜伽室	集体课程：八段锦、冥想、瑜伽
营养咨询+茶吧	一对一营养指导，轻食/排毒饮品
VIP休息区	私人管家服务，高端客户专属
办公室+设备间	运营支持",划分功能空间，支持空间需求分析和动线规划,needs_review,needs_review,deepseek,LLM-017
P2-DOCX-SEM-009,P2SRC-004,CAD图及其计划/奥森重点项目策划思路20260521.docx,项目二：奥运廉洁主题展馆（575.72㎡）,575.72,benchmark_case,对标案例,瑞士青草地疗养院：以医学抗衰为核心，精密检测→个性化干预→长期追踪，限量接待，标准化疗程包，高溢价，衍生消费品品牌。,"案例：瑞士青草地疗养院
核心模式：以“医学抗衰”为绝对核心，构建“精密检测→个性化干预→长期追踪”的强医疗闭环……并衍生出La Prairie等消费品品牌，放大商业价值。",提供高端健康管理运营参考，支持定价与疗程产品设计,needs_review,needs_review,deepseek,LLM-017
P2-DOCX-SEM-010,P2SRC-004,CAD图及其计划/奥森重点项目策划思路20260521.docx,项目二：奥运廉洁主题展馆（575.72㎡）,575.72,cooperation_mode,合作模式,三方合作：奥森公园提供场地收纯租金，华蓝瑞兆工程建设从利润分成，运营公司提供德国设备+运营团队负责客户转化，合作期限至少8年。,"三方合作：
奥森公园：提供场地，收取纯租金
华蓝瑞兆：工程建设，从运营利润中分成
运营公司：提供德国设备+运营团队，负责客户转化
合作期限：至少8年，保障投资回收周期。",合作结构设置，用于收益分配和投资回报模拟,needs_review,needs_review,deepseek,LLM-017
