semantic_review_id,node_candidate_id,park_id,park_name,node_name,amap_type,address,semantic_node_type_draft,route_use_priority_draft,official_entrance_likelihood_draft,visitor_origin_suitability_draft,local_rule_priority,final_use_gate,review_instruction,output_status
NODE-SEM-REVIEW-0010,NODE-CAND-0010,sample_city_green_heart,城市绿心森林公园,城市绿心森林公园P6停车场(出入口),交通设施服务;停车场;停车场出入口,绿心路与运兴路交叉口东160米,parking_access_node,P1_valid_visit_node_candidate,low,high,P0_manual_check_gate_or_entrance,candidate_access_node_needs_official_or_field_confirmation,优先人工核验是否为官方入口/出入口；确认后可作为 P1 路径代理节点。,draft
NODE-SEM-REVIEW-0013,NODE-CAND-0013,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园-南门站,交通设施服务;交通服务相关;交通服务相关,科荟路33号奥林匹克森林公园南园东南角,transit_or_station_node,P1_valid_visit_node_candidate,low,high,P0_manual_check_gate_or_entrance,candidate_access_node_needs_official_or_field_confirmation,优先人工核验是否为官方入口/出入口；确认后可作为 P1 路径代理节点。,draft
NODE-SEM-REVIEW-0015,NODE-CAND-0015,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园-西门站,交通设施服务;交通服务相关;交通服务相关,科荟路33号奥林匹克森林公园南园内(西侧),transit_or_station_node,P1_valid_visit_node_candidate,low,high,P0_manual_check_gate_or_entrance,candidate_access_node_needs_official_or_field_confirmation,优先人工核验是否为官方入口/出入口；确认后可作为 P1 路径代理节点。,draft
NODE-SEM-REVIEW-0038,NODE-CAND-0038,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园北园-体育园地面停车场(出入口),交通设施服务;停车场;停车场出入口,奥林匹克森林公园北园-体育园地面停车场,parking_access_node,P1_valid_visit_node_candidate,low,medium,P0_manual_check_gate_or_entrance,candidate_access_node_needs_official_or_field_confirmation,优先人工核验是否为官方入口/出入口；确认后可作为 P1 路径代理节点。,draft
NODE-SEM-REVIEW-0034,NODE-CAND-0034,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园北园-南门站游乐车电瓶车售票处,生活服务;售票处;售票处,科荟路33号奥林匹克森林公园北园(东侧),transit_or_station_node,P1_valid_visit_node_candidate,low,medium,P0_manual_check_gate_or_entrance,candidate_access_node_needs_official_or_field_confirmation,优先人工核验是否为官方入口/出入口；确认后可作为 P1 路径代理节点。,draft
NODE-SEM-REVIEW-0030,NODE-CAND-0030,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园北园东门1号停车场,交通设施服务;停车场;公共停车场,安立路25号,parking_access_node,P1_valid_visit_node_candidate,low,medium,P0_manual_check_gate_or_entrance,candidate_access_node_needs_official_or_field_confirmation,优先人工核验是否为官方入口/出入口；确认后可作为 P1 路径代理节点。,draft
NODE-SEM-REVIEW-0029,NODE-CAND-0029,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园北园东门1号停车场(入口),交通设施服务;停车场;停车场入口,安立路25号奥森N2车场,parking_access_node,P1_valid_visit_node_candidate,low,medium,P0_manual_check_gate_or_entrance,candidate_access_node_needs_official_or_field_confirmation,优先人工核验是否为官方入口/出入口；确认后可作为 P1 路径代理节点。,draft
NODE-SEM-REVIEW-0031,NODE-CAND-0031,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园北园东门1号停车场(出口),交通设施服务;停车场;停车场出口,安立路25号奥森N2车场,parking_access_node,P1_valid_visit_node_candidate,low,medium,P0_manual_check_gate_or_entrance,candidate_access_node_needs_official_or_field_confirmation,优先人工核验是否为官方入口/出入口；确认后可作为 P1 路径代理节点。,draft
NODE-SEM-REVIEW-0035,NODE-CAND-0035,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园北园北门地面停车场,交通设施服务;停车场;公共停车场,清林东路与清林路交叉口东南50米,parking_access_node,P1_valid_visit_node_candidate,low,medium,P0_manual_check_gate_or_entrance,candidate_access_node_needs_official_or_field_confirmation,优先人工核验是否为官方入口/出入口；确认后可作为 P1 路径代理节点。,draft
NODE-SEM-REVIEW-0025,NODE-CAND-0025,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园北园北门地面停车场(出入口),交通设施服务;停车场;停车场出入口,奥林匹克森林公园北园北门地面停车场,parking_access_node,P1_valid_visit_node_candidate,low,medium,P0_manual_check_gate_or_entrance,candidate_access_node_needs_official_or_field_confirmation,优先人工核验是否为官方入口/出入口；确认后可作为 P1 路径代理节点。,draft
NODE-SEM-REVIEW-0026,NODE-CAND-0026,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园北园南门停车场(入口),交通设施服务;停车场;停车场入口,安立路奥林匹克森林公园北园内(东南角),parking_access_node,P1_valid_visit_node_candidate,low,medium,P0_manual_check_gate_or_entrance,candidate_access_node_needs_official_or_field_confirmation,优先人工核验是否为官方入口/出入口；确认后可作为 P1 路径代理节点。,draft
NODE-SEM-REVIEW-0027,NODE-CAND-0027,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园北园西门停车场,交通设施服务;停车场;公共停车场,安立路奥林匹克森林公园北园内(西侧),parking_access_node,P1_valid_visit_node_candidate,low,medium,P0_manual_check_gate_or_entrance,candidate_access_node_needs_official_or_field_confirmation,优先人工核验是否为官方入口/出入口；确认后可作为 P1 路径代理节点。,draft
NODE-SEM-REVIEW-0028,NODE-CAND-0028,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园北园西门停车场(入口),交通设施服务;停车场;停车场入口,奥森N6车场,parking_access_node,P1_valid_visit_node_candidate,low,medium,P0_manual_check_gate_or_entrance,candidate_access_node_needs_official_or_field_confirmation,优先人工核验是否为官方入口/出入口；确认后可作为 P1 路径代理节点。,draft
NODE-SEM-REVIEW-0021,NODE-CAND-0021,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园南园-东门站,风景名胜;风景名胜相关;旅游景点,科荟路33号奥林匹克森林公园南园内(东侧),transit_or_station_node,P1_valid_visit_node_candidate,medium,medium,P0_manual_check_gate_or_entrance,candidate_access_node_needs_official_or_field_confirmation,优先人工核验是否为官方入口/出入口；确认后可作为 P1 路径代理节点。,draft
NODE-SEM-REVIEW-0023,NODE-CAND-0023,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园南园东门停车场,交通设施服务;停车场;公共停车场,科荟路33号奥林匹克森林公园南园内(东侧),parking_access_node,P1_valid_visit_node_candidate,low,medium,P0_manual_check_gate_or_entrance,candidate_access_node_needs_official_or_field_confirmation,优先人工核验是否为官方入口/出入口；确认后可作为 P1 路径代理节点。,draft
NODE-SEM-REVIEW-0022,NODE-CAND-0022,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园南园东门停车场(出入口),交通设施服务;停车场;停车场出入口,奥林匹克森林公园南园东门停车场,parking_access_node,P1_valid_visit_node_candidate,low,medium,P0_manual_check_gate_or_entrance,candidate_access_node_needs_official_or_field_confirmation,优先人工核验是否为官方入口/出入口；确认后可作为 P1 路径代理节点。,draft
NODE-SEM-REVIEW-0014,NODE-CAND-0014,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园南园南门观光车售票厅,生活服务;售票处;售票处,奥林匹克森林公园南园南门,internal_facility_node,P1_valid_visit_node_candidate,low,medium,P0_manual_check_gate_or_entrance,candidate_access_node_needs_official_or_field_confirmation,优先人工核验是否为官方入口/出入口；确认后可作为 P1 路径代理节点。,draft
NODE-SEM-REVIEW-0018,NODE-CAND-0018,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园南园西门停车场,交通设施服务;停车场;公共停车场,科荟路33号奥林匹克公园内,parking_access_node,P1_valid_visit_node_candidate,low,medium,P0_manual_check_gate_or_entrance,candidate_access_node_needs_official_or_field_confirmation,优先人工核验是否为官方入口/出入口；确认后可作为 P1 路径代理节点。,draft
NODE-SEM-REVIEW-0017,NODE-CAND-0017,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园南园西门停车场(出入口),交通设施服务;停车场;停车场出入口,奥林匹克森林公园南园西门停车场,parking_access_node,P1_valid_visit_node_candidate,low,medium,P0_manual_check_gate_or_entrance,candidate_access_node_needs_official_or_field_confirmation,优先人工核验是否为官方入口/出入口；确认后可作为 P1 路径代理节点。,draft
NODE-SEM-REVIEW-0016,NODE-CAND-0016,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园南门东侧地面停车场,交通设施服务;停车场;公共停车场,奥林匹克森林公园南园(东南角),parking_access_node,P1_valid_visit_node_candidate,low,high,P0_manual_check_gate_or_entrance,candidate_access_node_needs_official_or_field_confirmation,优先人工核验是否为官方入口/出入口；确认后可作为 P1 路径代理节点。,draft
NODE-SEM-REVIEW-0004,NODE-CAND-0004,sample_city_green_heart,城市绿心森林公园,城市绿心森林公园P12停车场,交通设施服务;停车场;公共停车场,滨河南路城市绿心森林公园(西侧),parking_access_node,P1_valid_visit_node_candidate,low,high,P1_manual_check_parking_access,secondary_access_node_needs_field_confirmation,可作为停车/到达节点候选；需确认游客是否可从该节点进入或到达目标 POI。,draft
NODE-SEM-REVIEW-0002,NODE-CAND-0002,sample_city_green_heart,城市绿心森林公园,城市绿心森林公园P5停车场,交通设施服务;停车场;公共停车场,滨河南路城市绿心森林公园(东南角),parking_access_node,P1_valid_visit_node_candidate,low,high,P1_manual_check_parking_access,secondary_access_node_needs_field_confirmation,可作为停车/到达节点候选；需确认游客是否可从该节点进入或到达目标 POI。,draft
NODE-SEM-REVIEW-0001,NODE-CAND-0001,sample_city_green_heart,城市绿心森林公园,城市绿心森林公园P6停车场,交通设施服务;停车场;公共停车场,滨河南路城市绿心森林公园(西南角),parking_access_node,P1_valid_visit_node_candidate,low,high,P1_manual_check_parking_access,secondary_access_node_needs_field_confirmation,可作为停车/到达节点候选；需确认游客是否可从该节点进入或到达目标 POI。,draft
