check_id,status,severity,finding,evidence
P2-SEMANTIC-REVIEW-001,pass,error,DOCX semantic rows=21,G:\wxjwWorks\works\park_commercial_site_selection_simulation\70_outputs\processed_tables\p2_docx_project_semantic_draft_deepseek.csv
P2-SEMANTIC-REVIEW-002,pass,error,PDF spatial label rows=22,G:\wxjwWorks\works\park_commercial_site_selection_simulation\70_outputs\processed_tables\p2_pdf_spatial_label_draft_deepseek.csv
P2-SEMANTIC-REVIEW-003,pass,error,DOCX output statuses={'needs_review': 21},G:\wxjwWorks\works\park_commercial_site_selection_simulation\70_outputs\processed_tables\p2_docx_project_semantic_draft_deepseek.csv
P2-SEMANTIC-REVIEW-004,pass,error,PDF output statuses={'needs_review': 22},G:\wxjwWorks\works\park_commercial_site_selection_simulation\70_outputs\processed_tables\p2_pdf_spatial_label_draft_deepseek.csv
P2-SEMANTIC-REVIEW-005,pass,error,"executors docx={'deepseek': 21}, pdf={'deepseek': 22}",executor
P2-SEMANTIC-REVIEW-006,pass,error,"task ids docx={'LLM-017': 21}, pdf={'LLM-017': 22}",llm_task_id
P2-SEMANTIC-REVIEW-007,pass,error,"DOCX semantic types=['benchmark_case', 'business_format', 'cooperation_mode', 'project_scope', 'renovation_suggestion', 'risk_or_constraint', 'scene_assumption', 'spatial_node']",semantic_type
P2-SEMANTIC-REVIEW-008,pass,error,"PDF label types=['bridge_or_gate', 'building', 'facility', 'parking', 'recreation', 'road', 'service', 'sports', 'water_green']",label_type
P2-SEMANTIC-REVIEW-009,pass,error,PDF geometry statuses={'pdf_text_label_only_pending_dwg_conversion': 22},geometry_status
P2-SEMANTIC-REVIEW-010,pass,error,"DOCX required themes checked=['桃花源', '奥运廉洁主题展馆', '中医', '烘焙']",docx themes
P2-SEMANTIC-REVIEW-011,pass,error,"PDF required labels checked=['停车场', '运动场', '篮球场', '足球场', '花海']",pdf labels
P2-SEMANTIC-REVIEW-012,pass,error,progress output_status=needs_review,G:\wxjwWorks\works\park_commercial_site_selection_simulation\60_model\llm_runs\deepseek_p2_real_site_semantic_progress.json
