review_id,candidate_id,park_id,park_name,amap_poi_id,poi_name,standard_categories,amap_type,address,longitude,latitude,wgs84_longitude,wgs84_latitude,min_distance_m,distance_band,boundary_filter_status,p1_boundary_supply_status,boundary_filter_confidence,rating,cost_yuan,opentime_today,opentime_week,tel,pdf_seed_match_status,pdf_seed_poi_names,source_strength_status,opening_hours_status,contact_status,spend_status,business_info_status,route_access_status,operation_authorization_status,field_review_priority,candidate_use_status,recommended_next_action,review_notes
INPARK-REVIEW-001,AMAP-POI-0002,sample_city_green_heart,城市绿心森林公园,B0HUA54VCM,SP上品鲜生上品便利店,convenience_retail,购物服务;便民商店/便利店;便民商店/便利店,城市绿心活力汇西南门东南140米,116.719120,39.867642,116.71307839,39.86643512,830,501-1000m,inside_osm_polygon,boundary_filtered_in_park_candidate_needs_field_review,medium,3.9,,08:00-21:30,周一至周日 08:00-21:30,18221078401,not_in_pdf_seed,,amap_boundary_only,has_opening_hours,has_contact,missing_cost_yuan,amap_business_fields_sufficient_for_p1_review,needs_entrance_or_route_api_verification,needs_operator_or_field_confirmation,P1_key_category,p1_in_park_candidate_not_final_supply,核验是否实际营业；核验是否属于园内运营或可授权经营点；补入口/节点步行可达性；补消费价格或客单价口径,OSM polygon 内候选；仍需现场营业、入口路径和运营授权核验，不能直接进入最终供给结论。
INPARK-REVIEW-002,AMAP-POI-0003,sample_city_green_heart,城市绿心森林公园,B0I62DFQB4,童星屋游乐场,convenience_retail,体育休闲服务;休闲场所;游乐场|购物服务;购物相关场所;购物相关场所,绿心公园p11停车场向西100米,116.717717,39.866227,116.71167823,39.86502180,1028,1001-1500m,inside_osm_polygon,boundary_filtered_in_park_candidate_needs_field_review,medium,4.2,,09:30-20:00,周一至周日 09:30-20:00,13212123696,not_in_pdf_seed,,amap_boundary_only,has_opening_hours,has_contact,missing_cost_yuan,amap_business_fields_sufficient_for_p1_review,needs_entrance_or_route_api_verification,needs_operator_or_field_confirmation,P1_key_category,p1_in_park_candidate_not_final_supply,核验是否实际营业；核验是否属于园内运营或可授权经营点；补入口/节点步行可达性；补消费价格或客单价口径,OSM polygon 内候选；仍需现场营业、入口路径和运营授权核验，不能直接进入最终供给结论。
INPARK-REVIEW-003,AMAP-POI-0004,sample_city_green_heart,城市绿心森林公园,B0KALBDUJY,绿芯栈咖啡,coffee;cold_drink,餐饮服务;咖啡厅;咖啡厅,绿心路1号院3号楼北京城市图书馆二层,116.715067,39.884010,116.70903125,39.88280708,1424,1001-1500m,inside_osm_polygon,boundary_filtered_in_park_candidate_needs_field_review,medium,4.1,33.00,10:00-20:00,周二至周日 10:00-20:00,13601209620,not_in_pdf_seed,,amap_boundary_only,has_opening_hours,has_contact,has_cost_yuan,amap_business_fields_sufficient_for_p1_review,needs_entrance_or_route_api_verification,needs_operator_or_field_confirmation,P1_key_category,p1_in_park_candidate_not_final_supply,核验是否实际营业；核验是否属于园内运营或可授权经营点；补入口/节点步行可达性,OSM polygon 内候选；仍需现场营业、入口路径和运营授权核验，不能直接进入最终供给结论。
INPARK-REVIEW-004,AMAP-POI-0005,sample_city_green_heart,城市绿心森林公园,B0KK09EIAA,喜茶(北京通州三大馆店),cold_drink,餐饮服务;冷饮店;冷饮店,滨河中路22号DPONE源心b1-057喜茶,116.714336,39.881997,116.70830199,39.88079510,1293,1001-1500m,inside_osm_polygon,boundary_filtered_in_park_candidate_needs_field_review,medium,4.4,20.00,10:00-21:00,周一至周日 10:00-21:00,15011236705,not_in_pdf_seed,,amap_boundary_only,has_opening_hours,has_contact,has_cost_yuan,amap_business_fields_sufficient_for_p1_review,needs_entrance_or_route_api_verification,needs_operator_or_field_confirmation,P2_normal_field_review,p1_in_park_candidate_not_final_supply,核验是否实际营业；核验是否属于园内运营或可授权经营点；补入口/节点步行可达性,OSM polygon 内候选；仍需现场营业、入口路径和运营授权核验，不能直接进入最终供给结论。
INPARK-REVIEW-005,AMAP-POI-0006,sample_city_green_heart,城市绿心森林公园,B0KK2Z648N,肯德基(上码头路店),fast_food,餐饮服务;快餐厅;肯德基,城市副中心绿心源·心项目的B1-075号铺位,116.714309,39.882493,116.70827498,39.88129111,1335,1001-1500m,inside_osm_polygon,boundary_filtered_in_park_candidate_needs_field_review,medium,4.4,29.00,10:00-20:30,周一至周日 10:00-20:30,18010428609,not_in_pdf_seed,,amap_boundary_only,has_opening_hours,has_contact,has_cost_yuan,amap_business_fields_sufficient_for_p1_review,needs_entrance_or_route_api_verification,needs_operator_or_field_confirmation,P2_normal_field_review,p1_in_park_candidate_not_final_supply,核验是否实际营业；核验是否属于园内运营或可授权经营点；补入口/节点步行可达性,OSM polygon 内候选；仍需现场营业、入口路径和运营授权核验，不能直接进入最终供给结论。
INPARK-REVIEW-006,AMAP-POI-0007,sample_city_green_heart,城市绿心森林公园,B0KK3HHAAB,爷爷不泡茶(北京通州源·心店),cold_drink,餐饮服务;餐饮相关场所;餐饮相关,滨河中路22号DPOne源•心B1-067号,116.714485,39.882130,116.70845067,39.88092791,1295,1001-1500m,inside_osm_polygon,boundary_filtered_in_park_candidate_needs_field_review,medium,4.4,20.00,09:30-21:30,周一至周日 09:30-21:30,18101075828,not_in_pdf_seed,,amap_boundary_only,has_opening_hours,has_contact,has_cost_yuan,amap_business_fields_sufficient_for_p1_review,needs_entrance_or_route_api_verification,needs_operator_or_field_confirmation,P2_normal_field_review,p1_in_park_candidate_not_final_supply,核验是否实际营业；核验是否属于园内运营或可授权经营点；补入口/节点步行可达性,OSM polygon 内候选；仍需现场营业、入口路径和运营授权核验，不能直接进入最终供给结论。
INPARK-REVIEW-007,AMAP-POI-0008,sample_city_green_heart,城市绿心森林公园,B0L67C0G79,张拉拉手撕牛肉面,fast_food,餐饮服务;餐饮相关场所;餐饮相关,绿心路1号院6号-1层B1-066号,116.714966,39.882037,116.70893070,39.88083431,1259,1001-1500m,inside_osm_polygon,boundary_filtered_in_park_candidate_needs_field_review,medium,4.2,29.00,11:00-19:30,周一至周日 11:00-19:30,13260156910,not_in_pdf_seed,,amap_boundary_only,has_opening_hours,has_contact,has_cost_yuan,amap_business_fields_sufficient_for_p1_review,needs_entrance_or_route_api_verification,needs_operator_or_field_confirmation,P2_normal_field_review,p1_in_park_candidate_not_final_supply,核验是否实际营业；核验是否属于园内运营或可授权经营点；补入口/节点步行可达性,OSM polygon 内候选；仍需现场营业、入口路径和运营授权核验，不能直接进入最终供给结论。
INPARK-REVIEW-008,AMAP-POI-0009,sample_city_green_heart,城市绿心森林公园,B0L6HCI1CR,三元梅园(源心店),cold_drink,餐饮服务;甜品店;甜品店,北京城区上码头路DPOne源心商业负一层074号,116.714456,39.882090,116.70842173,39.88088794,1293,1001-1500m,inside_osm_polygon,boundary_filtered_in_park_candidate_needs_field_review,medium,4.0,24.00,10:00-22:00,周一至周日 10:00-22:00,13071125369,not_in_pdf_seed,,amap_boundary_only,has_opening_hours,has_contact,has_cost_yuan,amap_business_fields_sufficient_for_p1_review,needs_entrance_or_route_api_verification,needs_operator_or_field_confirmation,P2_normal_field_review,p1_in_park_candidate_not_final_supply,核验是否实际营业；核验是否属于园内运营或可授权经营点；补入口/节点步行可达性,OSM polygon 内候选；仍需现场营业、入口路径和运营授权核验，不能直接进入最终供给结论。
INPARK-REVIEW-009,AMAP-POI-0010,sample_city_green_heart,城市绿心森林公园,B0L6HCI1K7,陆记金圣生滚牛肉面(D.P.ONE源心店),fast_food,餐饮服务;中餐厅;中餐厅,张家湾镇绿心路1号院6号B1层59号,116.714421,39.882190,116.70838679,39.88098798,1303,1001-1500m,inside_osm_polygon,boundary_filtered_in_park_candidate_needs_field_review,medium,3.9,36.00,11:00-20:30,周二至周日 11:00-20:30,15712898582,not_in_pdf_seed,,amap_boundary_only,has_opening_hours,has_contact,has_cost_yuan,amap_business_fields_sufficient_for_p1_review,needs_entrance_or_route_api_verification,needs_operator_or_field_confirmation,P2_normal_field_review,p1_in_park_candidate_not_final_supply,核验是否实际营业；核验是否属于园内运营或可授权经营点；补入口/节点步行可达性,OSM polygon 内候选；仍需现场营业、入口路径和运营授权核验，不能直接进入最终供给结论。
INPARK-REVIEW-010,AMAP-POI-0011,sample_city_green_heart,城市绿心森林公园,B0L6P7DCSU,爷爷不泡茶NOYEYENOTEA(北京通州源·心店),cold_drink,餐饮服务;休闲餐饮场所;休闲餐饮场所,滨河中路22号DPOne源•心B1-067号,116.714525,39.882125,116.70849059,39.88092286,1292,1001-1500m,inside_osm_polygon,boundary_filtered_in_park_candidate_needs_field_review,medium,4.2,13.00,09:30-21:30,周一至周日 09:30-21:30,18101075828,not_in_pdf_seed,,amap_boundary_only,has_opening_hours,has_contact,has_cost_yuan,amap_business_fields_sufficient_for_p1_review,needs_entrance_or_route_api_verification,needs_operator_or_field_confirmation,P2_normal_field_review,p1_in_park_candidate_not_final_supply,核验是否实际营业；核验是否属于园内运营或可授权经营点；补入口/节点步行可达性,OSM polygon 内候选；仍需现场营业、入口路径和运营授权核验，不能直接进入最终供给结论。
