derivative_id,persona_id,persona_name,persona_core_need,income_segment_id,income_segment_name,income_price_band,income_sensitivity_note,income_evidence_hint,time_band_id,time_band_name,time_range,weather_id,weather_name,weather_effect,node_context_id,node_context_name,node_role,demand_trigger_id,demand_trigger_name,candidate_supply_action_id,candidate_supply_action_name,priority_label,user_control_needed,data_needed,deepseek_role,why_it_matters
PSD-0001,runner,晨练/跑步人群,目标是快速补水、低负担补给和路线不中断；收入敏感度中等，更在意距离、排队和运动后即时性。,public_basic,基础预算/公共服务优先,0-30元即时补给或免费基础服务,价格敏感度高，优先判断是否应做公益性饮水、座椅、卫生间、导视和低价透明补给。,本地资料含餐饮消费水平、城市/全国消费水平和居住社区房价表；基础预算段不可被高消费均值覆盖。,early_morning,清晨,05:30-08:30,comfortable,舒适天气,停留时间延长，特色消费和慢游转化更容易发生。,entry,入口/闸口,客流导入与第一补给点，适合低决策成本服务。,thirst,口渴/补水,water_machine,饮水机/直饮水点,P2 方案比较：适合小规模 A/B 试点,用户可编辑人群权重、收入/预算假设、消费价格带、时段、天气、节点和供给动作；可采用、放弃、删除、锁定本条假设，并要求 DeepSeek 只解释待复核理由。,真实客流、时段分布、天气/节假日记录、周边人口与收入水平、消费支出、客单价、转化率、竞品 POI、步行距离、排队时长、库存/补货、营业关闭时间、现场观察和用户访谈。,DeepSeek 只能生成候选说明、资料缺口和报告草稿；不得决定最终概率、最终排名、最终收益或自动覆盖用户锁定对象，所有输出保持待复核。,晨练/跑步人群在清晨、舒适天气、入口/闸口遇到“口渴/补水”时，若收入/消费口径按“基础预算/公共服务优先（0-30元即时补给或免费基础服务）”处理，建议优先评估“饮水机/直饮水点”。判断必须结合收入/预算、同行关系、路径成本、供给真实性和运营承接能力，输出应是可执行修改建议而不是裸分。
PSD-0002,runner,晨练/跑步人群,目标是快速补水、低负担补给和路线不中断；收入敏感度中等，更在意距离、排队和运动后即时性。,public_basic,基础预算/公共服务优先,0-30元即时补给或免费基础服务,价格敏感度高，优先判断是否应做公益性饮水、座椅、卫生间、导视和低价透明补给。,本地资料含餐饮消费水平、城市/全国消费水平和居住社区房价表；基础预算段不可被高消费均值覆盖。,forenoon,上午,09:00-11:30,comfortable,舒适天气,停留时间延长，特色消费和慢游转化更容易发生。,entry,入口/闸口,客流导入与第一补给点，适合低决策成本服务。,thirst,口渴/补水,vending_machine,自动售卖机,P2 方案比较：适合小规模 A/B 试点,用户可编辑人群权重、收入/预算假设、消费价格带、时段、天气、节点和供给动作；可采用、放弃、删除、锁定本条假设，并要求 DeepSeek 只解释待复核理由。,真实客流、时段分布、天气/节假日记录、周边人口与收入水平、消费支出、客单价、转化率、竞品 POI、步行距离、排队时长、库存/补货、营业关闭时间、现场观察和用户访谈。,DeepSeek 只能生成候选说明、资料缺口和报告草稿；不得决定最终概率、最终排名、最终收益或自动覆盖用户锁定对象，所有输出保持待复核。,晨练/跑步人群在上午、舒适天气、入口/闸口遇到“口渴/补水”时，若收入/消费口径按“基础预算/公共服务优先（0-30元即时补给或免费基础服务）”处理，建议优先评估“自动售卖机”。判断必须结合收入/预算、同行关系、路径成本、供给真实性和运营承接能力，输出应是可执行修改建议而不是裸分。
PSD-0003,runner,晨练/跑步人群,目标是快速补水、低负担补给和路线不中断；收入敏感度中等，更在意距离、排队和运动后即时性。,public_basic,基础预算/公共服务优先,0-30元即时补给或免费基础服务,价格敏感度高，优先判断是否应做公益性饮水、座椅、卫生间、导视和低价透明补给。,本地资料含餐饮消费水平、城市/全国消费水平和居住社区房价表；基础预算段不可被高消费均值覆盖。,lunch_noon,午间,11:30-14:00,hot,高温暴晒,补水、遮阴、冷饮和缩短排队是关键，热风险提高。,entry,入口/闸口,客流导入与第一补给点，适合低决策成本服务。,thirst,口渴/补水,mobile_cart,移动补给车,P1 季节性试点：天气触发强，需现场校准,用户可编辑人群权重、收入/预算假设、消费价格带、时段、天气、节点和供给动作；可采用、放弃、删除、锁定本条假设，并要求 DeepSeek 只解释待复核理由。,真实客流、时段分布、天气/节假日记录、周边人口与收入水平、消费支出、客单价、转化率、竞品 POI、步行距离、排队时长、库存/补货、营业关闭时间、现场观察和用户访谈。,DeepSeek 只能生成候选说明、资料缺口和报告草稿；不得决定最终概率、最终排名、最终收益或自动覆盖用户锁定对象，所有输出保持待复核。,晨练/跑步人群在午间、高温暴晒、入口/闸口遇到“口渴/补水”时，若收入/消费口径按“基础预算/公共服务优先（0-30元即时补给或免费基础服务）”处理，建议优先评估“移动补给车”。判断必须结合收入/预算、同行关系、路径成本、供给真实性和运营承接能力，输出应是可执行修改建议而不是裸分。
PSD-0004,runner,晨练/跑步人群,目标是快速补水、低负担补给和路线不中断；收入敏感度中等，更在意距离、排队和运动后即时性。,public_basic,基础预算/公共服务优先,0-30元即时补给或免费基础服务,价格敏感度高，优先判断是否应做公益性饮水、座椅、卫生间、导视和低价透明补给。,本地资料含餐饮消费水平、城市/全国消费水平和居住社区房价表；基础预算段不可被高消费均值覆盖。,afternoon,下午,14:00-17:30,hot,高温暴晒,补水、遮阴、冷饮和缩短排队是关键，热风险提高。,main_path,主环路/主路径,连续通过和分流位置，适合可快速获取的补给。,thirst,口渴/补水,water_machine,饮水机/直饮水点,P1 季节性试点：天气触发强，需现场校准,用户可编辑人群权重、收入/预算假设、消费价格带、时段、天气、节点和供给动作；可采用、放弃、删除、锁定本条假设，并要求 DeepSeek 只解释待复核理由。,真实客流、时段分布、天气/节假日记录、周边人口与收入水平、消费支出、客单价、转化率、竞品 POI、步行距离、排队时长、库存/补货、营业关闭时间、现场观察和用户访谈。,DeepSeek 只能生成候选说明、资料缺口和报告草稿；不得决定最终概率、最终排名、最终收益或自动覆盖用户锁定对象，所有输出保持待复核。,晨练/跑步人群在下午、高温暴晒、主环路/主路径遇到“口渴/补水”时，若收入/消费口径按“基础预算/公共服务优先（0-30元即时补给或免费基础服务）”处理，建议优先评估“饮水机/直饮水点”。判断必须结合收入/预算、同行关系、路径成本、供给真实性和运营承接能力，输出应是可执行修改建议而不是裸分。
PSD-0005,runner,晨练/跑步人群,目标是快速补水、低负担补给和路线不中断；收入敏感度中等，更在意距离、排队和运动后即时性。,public_basic,基础预算/公共服务优先,0-30元即时补给或免费基础服务,价格敏感度高，优先判断是否应做公益性饮水、座椅、卫生间、导视和低价透明补给。,本地资料含餐饮消费水平、城市/全国消费水平和居住社区房价表；基础预算段不可被高消费均值覆盖。,evening,傍晚,18:00-21:30,rain,降雨,避雨、路线缩短、临时遮蔽和室内/半室内服务更重要。,main_path,主环路/主路径,连续通过和分流位置，适合可快速获取的补给。,hunger,轻食/能量补给,coffee_kiosk,咖啡/冷饮小站,P2 可纳入方案比较：需结合客流和转化率复核,用户可编辑人群权重、收入/预算假设、消费价格带、时段、天气、节点和供给动作；可采用、放弃、删除、锁定本条假设，并要求 DeepSeek 只解释待复核理由。,真实客流、时段分布、天气/节假日记录、周边人口与收入水平、消费支出、客单价、转化率、竞品 POI、步行距离、排队时长、库存/补货、营业关闭时间、现场观察和用户访谈。,DeepSeek 只能生成候选说明、资料缺口和报告草稿；不得决定最终概率、最终排名、最终收益或自动覆盖用户锁定对象，所有输出保持待复核。,晨练/跑步人群在傍晚、降雨、主环路/主路径遇到“轻食/能量补给”时，若收入/消费口径按“基础预算/公共服务优先（0-30元即时补给或免费基础服务）”处理，建议优先评估“咖啡/冷饮小站”。判断必须结合收入/预算、同行关系、路径成本、供给真实性和运营承接能力，输出应是可执行修改建议而不是裸分。
PSD-0006,runner,晨练/跑步人群,目标是快速补水、低负担补给和路线不中断；收入敏感度中等，更在意距离、排队和运动后即时性。,value_family,稳健家庭预算,31-100元亲子轻食/饮品/休息配套,关注卫生、安全、排队、儿童友好和明码标价，价格不一定最低，但必须让家庭觉得可控。,奥森与对照公园资料均出现51-100元、101-150元餐饮价格带和已育/亲子相关人群特征。,holiday_peak,周末/节假日高峰,10:00-19:30,rain,降雨,避雨、路线缩短、临时遮蔽和室内/半室内服务更重要。,main_path,主环路/主路径,连续通过和分流位置，适合可快速获取的补给。,hunger,轻食/能量补给,vending_machine,自动售卖机,P2 可纳入方案比较：需结合客流和转化率复核,用户可编辑人群权重、收入/预算假设、消费价格带、时段、天气、节点和供给动作；可采用、放弃、删除、锁定本条假设，并要求 DeepSeek 只解释待复核理由。,真实客流、时段分布、天气/节假日记录、周边人口与收入水平、消费支出、客单价、转化率、竞品 POI、步行距离、排队时长、库存/补货、营业关闭时间、现场观察和用户访谈。,DeepSeek 只能生成候选说明、资料缺口和报告草稿；不得决定最终概率、最终排名、最终收益或自动覆盖用户锁定对象，所有输出保持待复核。,晨练/跑步人群在周末/节假日高峰、降雨、主环路/主路径遇到“轻食/能量补给”时，若收入/消费口径按“稳健家庭预算（31-100元亲子轻食/饮品/休息配套）”处理，建议优先评估“自动售卖机”。判断必须结合收入/预算、同行关系、路径成本、供给真实性和运营承接能力，输出应是可执行修改建议而不是裸分。
PSD-0007,runner,晨练/跑步人群,目标是快速补水、低负担补给和路线不中断；收入敏感度中等，更在意距离、排队和运动后即时性。,value_family,稳健家庭预算,31-100元亲子轻食/饮品/休息配套,关注卫生、安全、排队、儿童友好和明码标价，价格不一定最低，但必须让家庭觉得可控。,奥森与对照公园资料均出现51-100元、101-150元餐饮价格带和已育/亲子相关人群特征。,early_morning,清晨,05:30-08:30,cold_windy,寒冷大风,热饮、避风、短停留和关闭策略更重要。,lakefront,湖边/景观停留区,停留和拍照更强，适合轻量休憩与特色消费。,hunger,轻食/能量补给,tea_lightfood,茶饮轻食,P2 可纳入方案比较：需结合客流和转化率复核,用户可编辑人群权重、收入/预算假设、消费价格带、时段、天气、节点和供给动作；可采用、放弃、删除、锁定本条假设，并要求 DeepSeek 只解释待复核理由。,真实客流、时段分布、天气/节假日记录、周边人口与收入水平、消费支出、客单价、转化率、竞品 POI、步行距离、排队时长、库存/补货、营业关闭时间、现场观察和用户访谈。,DeepSeek 只能生成候选说明、资料缺口和报告草稿；不得决定最终概率、最终排名、最终收益或自动覆盖用户锁定对象，所有输出保持待复核。,晨练/跑步人群在清晨、寒冷大风、湖边/景观停留区遇到“轻食/能量补给”时，若收入/消费口径按“稳健家庭预算（31-100元亲子轻食/饮品/休息配套）”处理，建议优先评估“茶饮轻食”。判断必须结合收入/预算、同行关系、路径成本、供给真实性和运营承接能力，输出应是可执行修改建议而不是裸分。
PSD-0008,runner,晨练/跑步人群,目标是快速补水、低负担补给和路线不中断；收入敏感度中等，更在意距离、排队和运动后即时性。,value_family,稳健家庭预算,31-100元亲子轻食/饮品/休息配套,关注卫生、安全、排队、儿童友好和明码标价，价格不一定最低，但必须让家庭觉得可控。,奥森与对照公园资料均出现51-100元、101-150元餐饮价格带和已育/亲子相关人群特征。,forenoon,上午,09:00-11:30,cold_windy,寒冷大风,热饮、避风、短停留和关闭策略更重要。,lakefront,湖边/景观停留区,停留和拍照更强，适合轻量休憩与特色消费。,hunger,轻食/能量补给,coffee_kiosk,咖啡/冷饮小站,P2 可纳入方案比较：需结合客流和转化率复核,用户可编辑人群权重、收入/预算假设、消费价格带、时段、天气、节点和供给动作；可采用、放弃、删除、锁定本条假设，并要求 DeepSeek 只解释待复核理由。,真实客流、时段分布、天气/节假日记录、周边人口与收入水平、消费支出、客单价、转化率、竞品 POI、步行距离、排队时长、库存/补货、营业关闭时间、现场观察和用户访谈。,DeepSeek 只能生成候选说明、资料缺口和报告草稿；不得决定最终概率、最终排名、最终收益或自动覆盖用户锁定对象，所有输出保持待复核。,晨练/跑步人群在上午、寒冷大风、湖边/景观停留区遇到“轻食/能量补给”时，若收入/消费口径按“稳健家庭预算（31-100元亲子轻食/饮品/休息配套）”处理，建议优先评估“咖啡/冷饮小站”。判断必须结合收入/预算、同行关系、路径成本、供给真实性和运营承接能力，输出应是可执行修改建议而不是裸分。
PSD-0009,runner,晨练/跑步人群,目标是快速补水、低负担补给和路线不中断；收入敏感度中等，更在意距离、排队和运动后即时性。,value_family,稳健家庭预算,31-100元亲子轻食/饮品/休息配套,关注卫生、安全、排队、儿童友好和明码标价，价格不一定最低，但必须让家庭觉得可控。,奥森与对照公园资料均出现51-100元、101-150元餐饮价格带和已育/亲子相关人群特征。,lunch_noon,午间,11:30-14:00,poor_air,空气质量较差,运动客流下降，短线游和室内替代活动需要单独判断。,lakefront,湖边/景观停留区,停留和拍照更强，适合轻量休憩与特色消费。,fatigue,疲劳/休息,no_action_review,暂不新增，仅观察复核,P3 保留观察：先补真实数据，不直接投资,用户可编辑人群权重、收入/预算假设、消费价格带、时段、天气、节点和供给动作；可采用、放弃、删除、锁定本条假设，并要求 DeepSeek 只解释待复核理由。,真实客流、时段分布、天气/节假日记录、周边人口与收入水平、消费支出、客单价、转化率、竞品 POI、步行距离、排队时长、库存/补货、营业关闭时间、现场观察和用户访谈。,DeepSeek 只能生成候选说明、资料缺口和报告草稿；不得决定最终概率、最终排名、最终收益或自动覆盖用户锁定对象，所有输出保持待复核。,晨练/跑步人群在午间、空气质量较差、湖边/景观停留区遇到“疲劳/休息”时，若收入/消费口径按“稳健家庭预算（31-100元亲子轻食/饮品/休息配套）”处理，建议优先评估“暂不新增，仅观察复核”。判断必须结合收入/预算、同行关系、路径成本、供给真实性和运营承接能力，输出应是可执行修改建议而不是裸分。
PSD-0010,runner,晨练/跑步人群,目标是快速补水、低负担补给和路线不中断；收入敏感度中等，更在意距离、排队和运动后即时性。,value_family,稳健家庭预算,31-100元亲子轻食/饮品/休息配套,关注卫生、安全、排队、儿童友好和明码标价，价格不一定最低，但必须让家庭觉得可控。,奥森与对照公园资料均出现51-100元、101-150元餐饮价格带和已育/亲子相关人群特征。,afternoon,下午,14:00-17:30,poor_air,空气质量较差,运动客流下降，短线游和室内替代活动需要单独判断。,activity_node,活动/展陈节点,活动前后聚集，适合活动配套、导视和秩序维护。,fatigue,疲劳/休息,rest_seating,遮阴座椅/休息点,P2 可纳入方案比较：需结合客流和转化率复核,用户可编辑人群权重、收入/预算假设、消费价格带、时段、天气、节点和供给动作；可采用、放弃、删除、锁定本条假设，并要求 DeepSeek 只解释待复核理由。,真实客流、时段分布、天气/节假日记录、周边人口与收入水平、消费支出、客单价、转化率、竞品 POI、步行距离、排队时长、库存/补货、营业关闭时间、现场观察和用户访谈。,DeepSeek 只能生成候选说明、资料缺口和报告草稿；不得决定最终概率、最终排名、最终收益或自动覆盖用户锁定对象，所有输出保持待复核。,晨练/跑步人群在下午、空气质量较差、活动/展陈节点遇到“疲劳/休息”时，若收入/消费口径按“稳健家庭预算（31-100元亲子轻食/饮品/休息配套）”处理，建议优先评估“遮阴座椅/休息点”。判断必须结合收入/预算、同行关系、路径成本、供给真实性和运营承接能力，输出应是可执行修改建议而不是裸分。
