source_record_id,park_id,park_name,source_population_segment,source_file,source_page,source_table_id,source_rank,source_business_scope,poi_name,source_index,avg_cost_yuan,business_area,source_extra_info,source_kind,validation_status,confidence,notes
PDFSEED-0001,sample_city_green_heart,城市绿心公园,flow_population,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,9,TBL-00005,1,美食,北京宴(通州大运河店),2624,434,,人均消费434元,pdf_hot_visit_seed,needs_amap_or_field_verification,medium,区域内热门到访表种子，不等于园内完整供给清单。
PDFSEED-0002,sample_city_green_heart,城市绿心公园,flow_population,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,9,TBL-00005,2,美食,熙僖小馆(副中心绿心公园店),2079,118,,人均消费118元,pdf_hot_visit_seed,needs_amap_or_field_verification,medium,区域内热门到访表种子，不等于园内完整供给清单。
PDFSEED-0003,sample_city_green_heart,城市绿心公园,flow_population,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,9,TBL-00005,3,美食,金鼎轩·南北家乡菜(绿心路分店),845,95,,人均消费95元,pdf_hot_visit_seed,needs_amap_or_field_verification,medium,区域内热门到访表种子，不等于园内完整供给清单。
PDFSEED-0004,sample_city_green_heart,城市绿心公园,flow_population,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,9,TBL-00005,4,美食,砖城徽菜,845,203,,人均消费203元,pdf_hot_visit_seed,needs_amap_or_field_verification,medium,区域内热门到访表种子，不等于园内完整供给清单。
PDFSEED-0005,sample_olympic_forest,奥林匹克森林公园,working_population,20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,26,TBL-00104,1,美食,新净雅(国家网球中心店),2688,231,奥林匹克公园,人均消费231元,pdf_hot_visit_seed,needs_amap_or_field_verification,medium,区域内热门到访表种子，不等于园内完整供给清单。
PDFSEED-0006,sample_olympic_forest,奥林匹克森林公园,working_population,20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,26,TBL-00104,2,美食,咿道南门涮肉(奥森店),2667,92,奥林匹克公园,人均消费92元,pdf_hot_visit_seed,needs_amap_or_field_verification,medium,区域内热门到访表种子，不等于园内完整供给清单。
PDFSEED-0007,sample_olympic_forest,奥林匹克森林公园,working_population,20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,26,TBL-00104,3,美食,布鲁豪斯亲子欢乐家庭餐厅,2356,129,奥林匹克公园,人均消费129元,pdf_hot_visit_seed,needs_amap_or_field_verification,medium,区域内热门到访表种子，不等于园内完整供给清单。
PDFSEED-0008,sample_olympic_forest,奥林匹克森林公园,working_population,20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,28,TBL-00106,1,购物,prince国网店,2709,,奥林匹克公园,,pdf_hot_visit_seed,needs_amap_or_field_verification,medium,区域内热门到访表种子，不等于园内完整供给清单。
PDFSEED-0009,sample_olympic_forest,奥林匹克森林公园,working_population,20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,28,TBL-00106,2,购物,跑步俱乐部(奥林匹克森林公园店),2586,,奥林匹克公园,,pdf_hot_visit_seed,needs_amap_or_field_verification,medium,区域内热门到访表种子，不等于园内完整供给清单。
PDFSEED-0010,sample_olympic_forest,奥林匹克森林公园,working_population,20_raw_data/pdf/奥林匹克森林公园区域大数据分析报告-20241230-202512291772157987.pdf,28,TBL-00106,3,购物,圣维岚运动装备(奥森店),2423,,奥林匹克公园,,pdf_hot_visit_seed,needs_amap_or_field_verification,medium,区域内热门到访表种子，不等于园内完整供给清单。
