audit_type,item
prototype_ready_items,从DOCX提取的完整策划文本及对标案例描述
prototype_ready_items,6个独立项目节点的业态/面积/定位结构化候选表
prototype_ready_items,12条基于活动场景/日常经营/合作模式的假设池
prototype_ready_items,22个CAD PDF导出的空间标签候选（道路/水体/运动/设施等）
prototype_ready_items,7项合作模式与租赁/收益分成假设的初步分类
prototype_ready_items,10项输入缺口识别（几何/客流/转化率/收益/授权等）
prototype_ready_items,对照P2任务计划的仿真需求框架（6条）
prototype_ready_items,source_catalog与输入worklist的完整性审查结果
blocking_gaps_for_real_calibration,DWG几何未解析：无法获取精确建筑轮廓、面积、动线，空间分析无法定量
blocking_gaps_for_real_calibration,南园无CAD代理与空间节点：南园项目仅靠DOCX描述，无几何验证基础
blocking_gaps_for_real_calibration,真实客流数据完全缺失：无分时/分入口/分节点客流权重，仿真无基础
blocking_gaps_for_real_calibration,业态转化率无任何实证或行业参考值：无法从人流量推导消费量
blocking_gaps_for_real_calibration,收益/成本/租金/分成参数空白：财务模型无法构建，租金假设仅文本
blocking_gaps_for_real_calibration,运营授权与租赁可行性未确认：方案落地边界模糊，无法进行真实评估
blocking_gaps_for_real_calibration,建设/改造审批许可未核实：阳光房、玻璃顶、夜间经营等存在政策风险
blocking_gaps_for_real_calibration,需求证据未与外部消费/TGI/POI数据对齐：业态假设仍停留在文本主张阶段
recommended_p2_outputs,供需缺口计算器原型（输入建筑/业态/人群参数，输出理论缺口）
recommended_p2_outputs,概率选择原型的伪代码或公式文档（基于距离/吸引力/场景的概率分配）
recommended_p2_outputs,persona/scenario参数表（年龄/消费偏好/时间分布/客单价等占位符）
recommended_p2_outputs,API契约草案（定义输入字段、输出格式、漏洞处理规则）
recommended_p2_outputs,P2输入schema与候选表状态终审报告（needs_review标记清理记录）
recommended_p2_outputs,假设与缺口池的版本化文档，作为P3真实校准的起点
handoff_risks,DWG几何未解析导致P3空间建模和动线分析无法启动，需优先完成转换
handoff_risks,真实客流、转化率、收益数据全部缺失，原型计算器只能运行占位符，验证无据
handoff_risks,运营授权与许可未确认，可能使部分项目方案在下一步被否决，浪费建模资源
handoff_risks,南园项目缺乏CAD代理，空间输入不对称，可能导致后期空间分析遗漏或错误
handoff_risks,用 PPT 回填缺失参数
