artifact,exists,bytes,category,trust_level,reason,allowed_use,required_action
40_quality_evidence/evidence_ledger.csv,true,174488,evidence,A_底座可信,证据台账仍是可追溯资料底座。,仅使用有来源、状态和可回查字段的行；checked 行仍需来源一致。,后续新增证据继续按 evidence_id 和 verification_status 入账。
30_extraction/tables/pdf_native_tables.jsonl,true,221402,extraction,A_底座可信,PDF 原生表格抽取结果可复跑、可回查。,用于证据候选和表格回查，不直接推出商业结论。,继续用 verify_pdf_tables.py 作为抽取门禁。
90_p6_expert_dashboard,true,,product_shell,B_产品壳可用,AI 工作台、资料池、项目总览和报告入口可作为业务人员操作界面。,用于可用性、复核和交互原型，不证明人物仿真准确。,接入人群状态和行为程序 CRUD，并隐藏旧测试/后端文案。
60_model/simulation/engine.py,true,5045,simulation,B_需改口径,当前是结构化 dry-run，不是老板资料意义上的完整仿真。,可保留为门禁、阻塞原因和缺口整理模块。,不得输出完整仿真、最终排序、ROI 或最终推荐。
60_model/llm_runs/deepseek_entrance_node_semantic_progress.json,true,190,deepseek_legacy,C_历史草稿,旧 DeepSeek 输出未使用新 envelope，不能直接进入新主线。,仅用于追踪历史、复核和重新抽取。,通过 adapt_deepseek_legacy_outputs.py 包装为审计 envelope 或标记不可适配。
60_model/llm_runs/deepseek_entrance_node_semantic_raw.jsonl,true,20680,deepseek_legacy,C_历史草稿,旧 DeepSeek 输出未使用新 envelope，不能直接进入新主线。,仅用于追踪历史、复核和重新抽取。,通过 adapt_deepseek_legacy_outputs.py 包装为审计 envelope 或标记不可适配。
60_model/llm_runs/deepseek_evidence_candidates_progress.json,true,222,deepseek_legacy,C_历史草稿,旧 DeepSeek 输出未使用新 envelope，不能直接进入新主线。,仅用于追踪历史、复核和重新抽取。,通过 adapt_deepseek_legacy_outputs.py 包装为审计 envelope 或标记不可适配。
60_model/llm_runs/deepseek_evidence_candidates_raw.jsonl,true,300288,deepseek_legacy,C_历史草稿,旧 DeepSeek 输出未使用新 envelope，不能直接进入新主线。,仅用于追踪历史、复核和重新抽取。,通过 adapt_deepseek_legacy_outputs.py 包装为审计 envelope 或标记不可适配。
60_model/llm_runs/deepseek_p0_detail_query_plan_progress.json,true,198,deepseek_legacy,C_历史草稿,旧 DeepSeek 输出未使用新 envelope，不能直接进入新主线。,仅用于追踪历史、复核和重新抽取。,通过 adapt_deepseek_legacy_outputs.py 包装为审计 envelope 或标记不可适配。
60_model/llm_runs/deepseek_p0_detail_query_plan_raw.jsonl,true,4625,deepseek_legacy,C_历史草稿,旧 DeepSeek 输出未使用新 envelope，不能直接进入新主线。,仅用于追踪历史、复核和重新抽取。,通过 adapt_deepseek_legacy_outputs.py 包装为审计 envelope 或标记不可适配。
60_model/llm_runs/deepseek_p0_field_verification_checklist_progress.json,true,201,deepseek_legacy,C_历史草稿,旧 DeepSeek 输出未使用新 envelope，不能直接进入新主线。,仅用于追踪历史、复核和重新抽取。,通过 adapt_deepseek_legacy_outputs.py 包装为审计 envelope 或标记不可适配。
60_model/llm_runs/deepseek_p0_field_verification_checklist_raw.jsonl,true,10320,deepseek_legacy,C_历史草稿,旧 DeepSeek 输出未使用新 envelope，不能直接进入新主线。,仅用于追踪历史、复核和重新抽取。,通过 adapt_deepseek_legacy_outputs.py 包装为审计 envelope 或标记不可适配。
60_model/llm_runs/deepseek_p0_verification_package_progress.json,true,165,deepseek_legacy,C_历史草稿,旧 DeepSeek 输出未使用新 envelope，不能直接进入新主线。,仅用于追踪历史、复核和重新抽取。,通过 adapt_deepseek_legacy_outputs.py 包装为审计 envelope 或标记不可适配。
60_model/llm_runs/deepseek_p0_verification_package_raw.jsonl,true,8146,deepseek_legacy,C_历史草稿,旧 DeepSeek 输出未使用新 envelope，不能直接进入新主线。,仅用于追踪历史、复核和重新抽取。,通过 adapt_deepseek_legacy_outputs.py 包装为审计 envelope 或标记不可适配。
60_model/llm_runs/deepseek_p1_quality_report_progress.json,true,258,deepseek_legacy,C_历史草稿,旧 DeepSeek 输出未使用新 envelope，不能直接进入新主线。,仅用于追踪历史、复核和重新抽取。,通过 adapt_deepseek_legacy_outputs.py 包装为审计 envelope 或标记不可适配。
60_model/llm_runs/deepseek_p1_quality_report_raw.jsonl,true,5373,deepseek_legacy,C_历史草稿,旧 DeepSeek 输出未使用新 envelope，不能直接进入新主线。,仅用于追踪历史、复核和重新抽取。,通过 adapt_deepseek_legacy_outputs.py 包装为审计 envelope 或标记不可适配。
60_model/llm_runs/deepseek_p2_completion_readiness_audit_progress.json,true,211,deepseek_legacy,C_历史草稿,旧 DeepSeek 输出未使用新 envelope，不能直接进入新主线。,仅用于追踪历史、复核和重新抽取。,通过 adapt_deepseek_legacy_outputs.py 包装为审计 envelope 或标记不可适配。
60_model/llm_runs/deepseek_p2_completion_readiness_audit_raw.jsonl,true,3929,deepseek_legacy,C_历史草稿,旧 DeepSeek 输出未使用新 envelope，不能直接进入新主线。,仅用于追踪历史、复核和重新抽取。,通过 adapt_deepseek_legacy_outputs.py 包装为审计 envelope 或标记不可适配。
60_model/llm_runs/deepseek_p2_geometry_proxy_audit_progress.json,true,148,deepseek_legacy,C_历史草稿,旧 DeepSeek 输出未使用新 envelope，不能直接进入新主线。,仅用于追踪历史、复核和重新抽取。,通过 adapt_deepseek_legacy_outputs.py 包装为审计 envelope 或标记不可适配。
