full_name,html_url,language,stars,forks,license,category,project_relevance,relevance_reason,safe_import_action,source_note
tech-shrimp/docker_installer,https://github.com/tech-shrimp/docker_installer,,3242,696,NOASSERTION,devops_container,medium,deployment_reference_only,catalog_only_until_license_confirmed,captured_from_successful_github_api_call_before_rate_limit
tech-shrimp/gemini-balance-lite,https://github.com/tech-shrimp/gemini-balance-lite,JavaScript,790,769,MIT,model_gateway_or_playground,medium,model_gateway_and_low_cost_routing_reference,may_vendor_after_license_review,captured_from_successful_github_api_call_before_rate_limit
tech-shrimp/GithubActionSample,https://github.com/tech-shrimp/GithubActionSample,Python,299,897,MIT,automation_or_agent_skill,high,github_actions_automation_reference,may_vendor_after_license_review,captured_from_successful_github_api_call_before_rate_limit
tech-shrimp/gemini-playground,https://github.com/tech-shrimp/gemini-playground,JavaScript,984,5048,MIT,model_gateway_or_playground,medium,multi_model_playground_reference,may_vendor_after_license_review,captured_from_successful_github_api_call_before_rate_limit
tech-shrimp/agent-skills-examples,https://github.com/tech-shrimp/agent-skills-examples,Python,148,29,MIT,automation_or_agent_skill,high,agent_skill_and_task_routing_reference,may_vendor_after_license_review,captured_from_successful_github_api_call_before_rate_limit
tech-shrimp/me,https://github.com/tech-shrimp/me,,950,140,NOASSERTION,other,low,personal_or_profile_repo,catalog_only_until_license_confirmed,captured_from_successful_github_api_call_before_rate_limit
tech-shrimp/docker_image_pusher,https://github.com/tech-shrimp/docker_image_pusher,,2921,15943,Apache-2.0,devops_container,medium,container_publish_workflow_reference,may_vendor_after_license_review,captured_from_successful_github_api_call_before_rate_limit
tech-shrimp/x-article-auto-publisher-skill,https://github.com/tech-shrimp/x-article-auto-publisher-skill,Python,34,9,NOASSERTION,automation_or_agent_skill,medium,agent_skill_pattern_reference,catalog_only_until_license_confirmed,captured_from_successful_github_api_call_before_rate_limit
tech-shrimp/remotion_videos,https://github.com/tech-shrimp/remotion_videos,Python,29,15,NOASSERTION,media_extraction_or_delivery,medium,later_delivery_media_reference,catalog_only_until_license_confirmed,captured_from_successful_github_api_call_before_rate_limit
tech-shrimp/pet_care,https://github.com/tech-shrimp/pet_care,TypeScript,7,3,NOASSERTION,other,low,weak_project_fit_catalog_only,catalog_only_until_license_confirmed,captured_from_successful_github_api_call_before_rate_limit
tech-shrimp/grok-playground,https://github.com/tech-shrimp/grok-playground,HTML,415,528,MIT,model_gateway_or_playground,medium,multi_model_playground_reference,may_vendor_after_license_review,captured_from_successful_github_api_call_before_rate_limit
tech-shrimp/gemini-proxy,https://github.com/tech-shrimp/gemini-proxy,JavaScript,260,140,NOASSERTION,model_gateway_or_playground,medium,api_proxy_architecture_reference,catalog_only_until_license_confirmed,captured_from_successful_github_api_call_before_rate_limit
tech-shrimp/git_test,https://github.com/tech-shrimp/git_test,,0,1,NOASSERTION,other,low,test_repo_catalog_only,catalog_only_until_license_confirmed,captured_from_successful_github_api_call_before_rate_limit
tech-shrimp/remote_test,https://github.com/tech-shrimp/remote_test,,0,0,NOASSERTION,other,low,test_repo_catalog_only,catalog_only_until_license_confirmed,captured_from_successful_github_api_call_before_rate_limit
tech-shrimp/WechatMoments,https://github.com/tech-shrimp/WechatMoments,Python,1291,134,Apache-2.0,wechat_content,low,wechat_workflow_not_core_to_project,may_vendor_after_license_review,captured_from_successful_github_api_call_before_rate_limit
tech-shrimp/git,https://github.com/tech-shrimp/git,,0,0,NOASSERTION,other,low,test_repo_catalog_only,catalog_only_until_license_confirmed,captured_from_successful_github_api_call_before_rate_limit
tech-shrimp/FreeWechatPush,https://github.com/tech-shrimp/FreeWechatPush,Python,99,75,MIT,wechat_content,low,wechat_workflow_not_core_to_project,may_vendor_after_license_review,captured_from_successful_github_api_call_before_rate_limit
tech-shrimp/tech-shrimp,https://github.com/tech-shrimp/tech-shrimp,,33,3,NOASSERTION,other,low,weak_project_fit_catalog_only,catalog_only_until_license_confirmed,captured_from_successful_github_api_call_before_rate_limit
tech-shrimp/video_2_markdown_doubao,https://github.com/tech-shrimp/video_2_markdown_doubao,Python,10,2,NOASSERTION,media_extraction_or_delivery,medium,later_delivery_media_reference,catalog_only_until_license_confirmed,captured_from_successful_github_api_call_before_rate_limit
tech-shrimp/hear_bird,https://github.com/tech-shrimp/hear_bird,TypeScript,5,3,NOASSERTION,other,low,weak_project_fit_catalog_only,catalog_only_until_license_confirmed,captured_from_successful_github_api_call_before_rate_limit
