legacy_file,envelope_file,legacy_kind,original_task_id,line_count,byte_count,parse_error,adaptation_status
60_model/llm_runs/deepseek_entrance_node_semantic_progress.json,60_model/llm_runs/contract_envelopes/legacy_deepseek_entrance_node_semantic_progress.json,progress_json,legacy:deepseek_entrance_node_semantic_progress,9,190,,metadata_wrapped_only
60_model/llm_runs/deepseek_entrance_node_semantic_raw.jsonl,60_model/llm_runs/contract_envelopes/legacy_deepseek_entrance_node_semantic_raw.json,raw_jsonl,LLM-011,6,20680,,metadata_wrapped_only
60_model/llm_runs/deepseek_evidence_candidates_progress.json,60_model/llm_runs/contract_envelopes/legacy_deepseek_evidence_candidates_progress.json,progress_json,legacy:deepseek_evidence_candidates_progress,10,222,,metadata_wrapped_only
60_model/llm_runs/deepseek_evidence_candidates_raw.jsonl,60_model/llm_runs/contract_envelopes/legacy_deepseek_evidence_candidates_raw.json,raw_jsonl,LLM-003,63,300288,,metadata_wrapped_only
60_model/llm_runs/deepseek_p0_detail_query_plan_progress.json,60_model/llm_runs/contract_envelopes/legacy_deepseek_p0_detail_query_plan_progress.json,progress_json,legacy:deepseek_p0_detail_query_plan_progress,9,198,,metadata_wrapped_only
60_model/llm_runs/deepseek_p0_detail_query_plan_raw.jsonl,60_model/llm_runs/contract_envelopes/legacy_deepseek_p0_detail_query_plan_raw.json,raw_jsonl,LLM-014,1,4625,,metadata_wrapped_only
60_model/llm_runs/deepseek_p0_field_verification_checklist_progress.json,60_model/llm_runs/contract_envelopes/legacy_deepseek_p0_field_verification_checklist_progress.json,progress_json,legacy:deepseek_p0_field_verification_checklist_progress,9,201,,metadata_wrapped_only
60_model/llm_runs/deepseek_p0_field_verification_checklist_raw.jsonl,60_model/llm_runs/contract_envelopes/legacy_deepseek_p0_field_verification_checklist_raw.json,raw_jsonl,LLM-015,1,10320,,metadata_wrapped_only
60_model/llm_runs/deepseek_p0_verification_package_progress.json,60_model/llm_runs/contract_envelopes/legacy_deepseek_p0_verification_package_progress.json,progress_json,legacy:deepseek_p0_verification_package_progress,8,165,,metadata_wrapped_only
60_model/llm_runs/deepseek_p0_verification_package_raw.jsonl,60_model/llm_runs/contract_envelopes/legacy_deepseek_p0_verification_package_raw.json,raw_jsonl,LLM-012,1,8146,,metadata_wrapped_only
60_model/llm_runs/deepseek_p1_quality_report_progress.json,60_model/llm_runs/contract_envelopes/legacy_deepseek_p1_quality_report_progress.json,progress_json,legacy:deepseek_p1_quality_report_progress,10,258,,metadata_wrapped_only
60_model/llm_runs/deepseek_p1_quality_report_raw.jsonl,60_model/llm_runs/contract_envelopes/legacy_deepseek_p1_quality_report_raw.json,raw_jsonl,LLM-016,1,5373,,metadata_wrapped_only
60_model/llm_runs/deepseek_p2_completion_readiness_audit_progress.json,60_model/llm_runs/contract_envelopes/legacy_deepseek_p2_completion_readiness_audit_progress.json,progress_json,legacy:deepseek_p2_completion_readiness_audit_progress,9,211,,metadata_wrapped_only
60_model/llm_runs/deepseek_p2_completion_readiness_audit_raw.jsonl,60_model/llm_runs/contract_envelopes/legacy_deepseek_p2_completion_readiness_audit_raw.json,raw_jsonl,LLM-019,1,3929,,metadata_wrapped_only
60_model/llm_runs/deepseek_p2_geometry_proxy_audit_progress.json,60_model/llm_runs/contract_envelopes/legacy_deepseek_p2_geometry_proxy_audit_progress.json,progress_json,legacy:deepseek_p2_geometry_proxy_audit_progress,7,148,,metadata_wrapped_only
60_model/llm_runs/deepseek_p2_geometry_proxy_audit_raw.jsonl,60_model/llm_runs/contract_envelopes/legacy_deepseek_p2_geometry_proxy_audit_raw.json,raw_jsonl,LLM-021,1,5745,,metadata_wrapped_only
60_model/llm_runs/deepseek_p2_input_schema_candidates_progress.json,60_model/llm_runs/contract_envelopes/legacy_deepseek_p2_input_schema_candidates_progress.json,progress_json,legacy:deepseek_p2_input_schema_candidates_progress,9,202,,metadata_wrapped_only
60_model/llm_runs/deepseek_p2_input_schema_candidates_raw.jsonl,60_model/llm_runs/contract_envelopes/legacy_deepseek_p2_input_schema_candidates_raw.json,raw_jsonl,LLM-018,1,8312,,metadata_wrapped_only
60_model/llm_runs/deepseek_p2_real_site_semantic_progress.json,60_model/llm_runs/contract_envelopes/legacy_deepseek_p2_real_site_semantic_progress.json,progress_json,legacy:deepseek_p2_real_site_semantic_progress,7,177,,metadata_wrapped_only
60_model/llm_runs/deepseek_p2_real_site_semantic_raw.jsonl,60_model/llm_runs/contract_envelopes/legacy_deepseek_p2_real_site_semantic_raw.json,raw_jsonl,LLM-017,1,9703,,metadata_wrapped_only
60_model/llm_runs/deepseek_p2_source_coverage_audit_progress.json,60_model/llm_runs/contract_envelopes/legacy_deepseek_p2_source_coverage_audit_progress.json,progress_json,legacy:deepseek_p2_source_coverage_audit_progress,12,268,,metadata_wrapped_only
60_model/llm_runs/deepseek_p2_source_coverage_audit_raw.jsonl,60_model/llm_runs/contract_envelopes/legacy_deepseek_p2_source_coverage_audit_raw.json,raw_jsonl,LLM-020,1,2092,,metadata_wrapped_only
60_model/llm_runs/deepseek_p3_calibration_execution_package_progress.json,60_model/llm_runs/contract_envelopes/legacy_deepseek_p3_calibration_execution_package_progress.json,progress_json,LLM-023,9,177,,metadata_wrapped_only
60_model/llm_runs/deepseek_p3_calibration_execution_package_raw.jsonl,60_model/llm_runs/contract_envelopes/legacy_deepseek_p3_calibration_execution_package_raw.json,raw_jsonl,LLM-023,1,27331,,metadata_wrapped_only
60_model/llm_runs/deepseek_p3_prework_package_progress.json,60_model/llm_runs/contract_envelopes/legacy_deepseek_p3_prework_package_progress.json,progress_json,legacy:deepseek_p3_prework_package_progress,13,580,,metadata_wrapped_only
60_model/llm_runs/deepseek_p3_prework_package_raw.jsonl,60_model/llm_runs/contract_envelopes/legacy_deepseek_p3_prework_package_raw.json,raw_jsonl,LLM-022,1,6666,,metadata_wrapped_only
60_model/llm_runs/deepseek_p4_feedback_draft_progress.json,60_model/llm_runs/contract_envelopes/legacy_deepseek_p4_feedback_draft_progress.json,progress_json,LLM-025,7,130,,metadata_wrapped_only
60_model/llm_runs/deepseek_p4_feedback_draft_raw.jsonl,60_model/llm_runs/contract_envelopes/legacy_deepseek_p4_feedback_draft_raw.json,raw_jsonl,LLM-025,1,16582,,metadata_wrapped_only
60_model/llm_runs/deepseek_p4_premature_audit_raw.jsonl,60_model/llm_runs/contract_envelopes/legacy_deepseek_p4_premature_audit_raw.json,raw_jsonl,LLM-024,1,921,,metadata_wrapped_only
60_model/llm_runs/deepseek_project_context_sync_latest.json,60_model/llm_runs/contract_envelopes/legacy_deepseek_project_context_sync_latest.json,latest_json,legacy:deepseek_project_context_sync_latest,136,7684,,metadata_wrapped_only
60_model/llm_runs/deepseek_project_context_sync_progress.json,60_model/llm_runs/contract_envelopes/legacy_deepseek_project_context_sync_progress.json,progress_json,legacy:deepseek_project_context_sync_progress,9,215,,metadata_wrapped_only
60_model/llm_runs/deepseek_project_context_sync_raw.jsonl,60_model/llm_runs/contract_envelopes/legacy_deepseek_project_context_sync_raw.json,raw_jsonl,LLM-013,1,7996,,metadata_wrapped_only
60_model/llm_runs/deepseek_smoke_test_latest.json,60_model/llm_runs/contract_envelopes/legacy_deepseek_smoke_test_latest.json,latest_json,LLM-001,11,564,,metadata_wrapped_only
60_model/llm_runs/deepseek_table_classification_progress.json,60_model/llm_runs/contract_envelopes/legacy_deepseek_table_classification_progress.json,progress_json,legacy:deepseek_table_classification_progress,8,172,,metadata_wrapped_only
60_model/llm_runs/deepseek_table_classification_raw.jsonl,60_model/llm_runs/contract_envelopes/legacy_deepseek_table_classification_raw.json,raw_jsonl,LLM-002,44,142104,,metadata_wrapped_only
