table_id,source_file,page,table_index,row_count,column_count,topic_draft,topic_confidence,reason_draft,evidence_keywords_draft,output_status,executor,model,review_gate,llm_task_id,run_id
TBL-00001,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,4,1,7,8,empty_or_visual_noise,high,样本数据几乎全部为斜线占位符，仅出现一个百分数，疑似图表抽取噪声，无有效分析价值。,"斜线占位符, 噪声",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T021023Z
TBL-00002,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,6,1,9,4,empty_or_visual_noise,high,样本数据全部由斜线占位符组成，无任何可读取信息，属于无效抽取噪声。,"斜线, 噪声",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T021023Z
TBL-00003,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,7,1,11,6,origin_residence_work,high,表格同时列出了工作地和居住地的排名与占比，明确反映来源地-居住地-工作地信息。,"工作地, 居住地, 排名, 占比",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T021023Z
TBL-00004,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,8,1,11,6,origin_residence_work,high,表格展示工作地名称及占比、居住地名称及占比的交叉排名，属于典型的职住来源地数据。,"工作地, 居住地, 排名, 占比",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T021023Z
TBL-00005,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,9,1,5,4,poi_hot_visit,high,表格包含POI名称、热度指数及人均消费，直接反映热门POI访问特征。,"POI名称, 指数, 人均消费",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T021023Z
TBL-00006,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,10,1,19,8,poi_hot_visit,high,表格列出餐饮类POI热度指数和人均消费，如簋街、gulugulu、必胜客、丰泽园饭店，反映热门餐饮访问量。,"['簋街', 'gulugulu', '必胜客', '丰泽园饭店', '指数', '人均消费']",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022320Z
TBL-00007,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,11,1,16,8,commercial_supply,medium,表格列出企业/公司名称及指数，如联东u谷、北京创业港湾科技、国网通州供电公司等，反映商业/企业供给分布。,"['联东u谷', '北京创业港湾科技有限公司', '国网北京通州供电公司', '北汽新能源营销公司']",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022320Z
TBL-00008,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,12,1,11,8,commercial_supply,high,表格列出大型购物中心热度指数，如万达广场、领展购物广场、鑫隆生活广场等，反映商业设施供给与热度。,"['北京通州万达广场', '领展购物广场·京通', '鑫隆生活广场', '凯德mall']",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022320Z
TBL-00009,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,13,1,19,8,commercial_supply,medium,表格列出生活服务类POI热度，如链家地产、宠福鑫动物医院、心心宠物生活馆，反映社区商业服务设施。,"['链家地产', '宠福鑫动物医院', '心心宠物生活馆']",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022320Z
TBL-00010,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,14,1,11,8,poi_hot_visit,high,表格列出旅游景点和咖啡店等热门POI指数，如北京环球度假区、欢乐谷、瑞幸咖啡、costa coffee，反映热点访问。,"['北京环球度假区', '欢乐谷', '瑞幸咖啡', 'costa coffee']",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022320Z
TBL-00011,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,15,1,11,8,poi_hot_visit,high,表格列出了体育健身类POI名称及指数排名，属于热门访问POI榜单,健龙森体育健身俱乐部、国家奥林匹克体育中心、指数,draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00012,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,16,1,15,8,poi_hot_visit,high,表格列出了驾校、加油站等交通出行类POI名称及指数排名,东方时尚驾校、小海豚加油站、指数,draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00013,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,17,1,18,8,poi_hot_visit,high,表格列出了医院POI名称及指数排名,首都医科大学附属北京潞河医院、北京世纪坛医院、指数,draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00014,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,18,1,16,8,poi_hot_visit,high,表格列出了酒店POI名称、指数及扩展价格信息，系热门访问榜单,京伦饭店、酒店起价、指数,draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00015,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,19,1,18,8,poi_hot_visit,high,表格列出了景区公园类POI名称、指数及级别，属于热门访问排名,城市绿心森林公园、北京奥林匹克公园、景区级别、指数,draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00016,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,20,1,11,8,poi_hot_visit,high,表格列出了博物馆、展览馆类POI名称及指数排名,中国国家博物馆、全国农业展览馆、指数,draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00017,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,21,1,11,8,poi_hot_visit,high,表格列出了大学院校类POI名称及指数排名,中国传媒大学、中国人民大学、指数,draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00018,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,22,1,19,8,poi_hot_visit,high,表格列出了银行类POI名称及指数排名,北京银行(总行营业部)、中国工商银行、指数,draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00019,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,23,1,12,8,poi_hot_visit,high,表格列出交通枢纽POI名称及其指数，为热度排名,"['指数', 'POI名称']",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00020,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,24,1,19,8,poi_hot_visit,high,表格列出区域/居住区POI名称及其指数，为热度排名,"['指数', 'POI名称']",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00021,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,25,1,11,6,poi_hot_visit,high,表格列出餐饮品牌名称及其指数，为热度排名,"['指数', '品牌名称']",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00022,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,26,1,11,6,poi_hot_visit,high,表格列出零售商业品牌名称及其指数，为热度排名,"['指数', '品牌名称']",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00023,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,27,1,11,6,poi_hot_visit,high,表格列出生活服务品牌名称及其指数，为热度排名,"['指数', '品牌名称']",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00024,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,28,1,11,6,poi_hot_visit,high,表格列出咖啡/影城品牌名称及其指数，为热度排名,"['指数', '品牌名称']",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00025,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,29,1,11,6,poi_hot_visit,high,表格列出健身品牌名称及其指数，为热度排名,"['指数', '品牌名称']",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00026,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,30,1,11,6,poi_hot_visit,high,表格列出能源及租车品牌名称及其指数，为热度排名,"['指数', '品牌名称']",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00027,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,31,1,11,6,commercial_supply,medium,列出药店/健康类品牌及其指数排名，可能反映区域商业供给品牌热度或偏好。,"品牌名称, 指数, 同仁堂, 明医堂",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00028,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,32,1,11,6,commercial_supply,medium,列出酒店品牌及其指数排名，推测为住宿类商业供给热度或偏好。,"品牌名称, 指数, 汉庭酒店, 全季酒店",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00029,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,33,1,11,6,commercial_supply,medium,列出教育品牌及其指数排名，推测为教育培训类商业供给热度或偏好。,"品牌名称, 指数, 高思教育, 汉翔书法教育",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00030,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,34,1,11,6,commercial_supply,medium,列出银行品牌及其指数排名，推测为金融服务商业供给热度或偏好。,"品牌名称, 指数, 北京银行, 中国工商银行",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00031,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,35,1,11,4,demographic_profile,high,展示职业细分、占比及与北京市大盘对比的TGI，属于典型人口特征画像。,"职业细分, 占比, 北京市大盘, TGI",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00032,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,36,1,3,4,demographic_profile,high,展示性别占比及与北京市大盘对比的TGI，属于人口特征画像。,"性别, 占比, 北京市大盘, TGI",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00033,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,37,1,11,4,demographic_profile,high,展示所在行业占比及与北京市大盘对比的TGI，属于人口特征画像。,"所在行业, 占比, 北京市大盘, TGI",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00034,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,38,1,6,4,demographic_profile,high,展示人生阶段占比及与北京市大盘对比的TGI，属于人口特征画像。,"人生阶段, 占比, 北京市大盘, TGI",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00035,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,39,1,9,4,demographic_profile,high,表格展示年龄分布及TGI，属于客群人口属性画像。,"['年龄', '占比', 'TGI']",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00036,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,40,1,8,4,demographic_profile,high,表格展示学历分布及TGI，属于客群人口属性画像。,"['学历', '占比', 'TGI']",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00037,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,41,1,8,4,origin_residence_work,high,表格为职住距离分布，反映居住与工作地关系，属于来源地/职住维度。,"['职住距离', '占比', 'TGI']",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00038,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,42,1,4,4,demographic_profile,high,表格展示婚育状态及TGI，属于客群人口属性画像。,"['婚育状态', '占比', 'TGI']",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00039,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,43,1,11,2,origin_residence_work,high,表格展示常驻区县分布，反映客群居住来源，属于来源地维度。,"['常驻区县', '占比']",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00040,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,44,1,11,2,poi_hot_visit,medium,表格为活跃商圈人群覆盖度，反映客群到访的热力商圈分布，可视为热门到访地。,"['活跃商圈', '人群覆盖度']",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00041,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,45,1,11,2,demographic_profile,high,表格展示客群在读学校分布，属于社会属性画像。,"['在读学校', '占比']",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
TBL-00042,20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,46,1,11,2,origin_residence_work,high,表格展示常驻省份分布，反映客群居住来源，属于来源地维度。,"['常驻省份', '占比']",draft,deepseek,deepseek-v4-pro,table_sampling,LLM-002,20260525T022412Z
