check_id,status,severity,finding,evidence
P2-GEOM-PROXY-REVIEW-001,pass,error,PDF proxy zone rows=10,G:\wxjwWorks\works\park_commercial_site_selection_simulation\70_outputs\processed_tables\p2_pdf_proxy_zone_candidates_deepseek.csv
P2-GEOM-PROXY-REVIEW-002,pass,error,DWG conversion rows=8,G:\wxjwWorks\works\park_commercial_site_selection_simulation\70_outputs\processed_tables\p2_dwg_conversion_worklist_deepseek.csv
P2-GEOM-PROXY-REVIEW-003,pass,error,geometry limitation rows=8,G:\wxjwWorks\works\park_commercial_site_selection_simulation\70_outputs\processed_tables\p2_geometry_proxy_limitations_deepseek.csv
P2-GEOM-PROXY-REVIEW-004,pass,error,zones output statuses={'needs_review': 10},G:\wxjwWorks\works\park_commercial_site_selection_simulation\70_outputs\processed_tables\p2_pdf_proxy_zone_candidates_deepseek.csv
P2-GEOM-PROXY-REVIEW-005,pass,error,zones executors={'deepseek': 10},G:\wxjwWorks\works\park_commercial_site_selection_simulation\70_outputs\processed_tables\p2_pdf_proxy_zone_candidates_deepseek.csv
P2-GEOM-PROXY-REVIEW-006,pass,error,zones task_ids={'LLM-021': 10},G:\wxjwWorks\works\park_commercial_site_selection_simulation\70_outputs\processed_tables\p2_pdf_proxy_zone_candidates_deepseek.csv
P2-GEOM-PROXY-REVIEW-007,pass,error,dwg output statuses={'needs_review': 8},G:\wxjwWorks\works\park_commercial_site_selection_simulation\70_outputs\processed_tables\p2_dwg_conversion_worklist_deepseek.csv
P2-GEOM-PROXY-REVIEW-008,pass,error,dwg executors={'deepseek': 8},G:\wxjwWorks\works\park_commercial_site_selection_simulation\70_outputs\processed_tables\p2_dwg_conversion_worklist_deepseek.csv
P2-GEOM-PROXY-REVIEW-009,pass,error,dwg task_ids={'LLM-021': 8},G:\wxjwWorks\works\park_commercial_site_selection_simulation\70_outputs\processed_tables\p2_dwg_conversion_worklist_deepseek.csv
P2-GEOM-PROXY-REVIEW-010,pass,error,limits output statuses={'needs_review': 8},G:\wxjwWorks\works\park_commercial_site_selection_simulation\70_outputs\processed_tables\p2_geometry_proxy_limitations_deepseek.csv
P2-GEOM-PROXY-REVIEW-011,pass,error,limits executors={'deepseek': 8},G:\wxjwWorks\works\park_commercial_site_selection_simulation\70_outputs\processed_tables\p2_geometry_proxy_limitations_deepseek.csv
P2-GEOM-PROXY-REVIEW-012,pass,error,limits task_ids={'LLM-021': 8},G:\wxjwWorks\works\park_commercial_site_selection_simulation\70_outputs\processed_tables\p2_geometry_proxy_limitations_deepseek.csv
P2-GEOM-PROXY-REVIEW-013,pass,error,PDF proxy zones preserve label-only geometry status,G:\wxjwWorks\works\park_commercial_site_selection_simulation\70_outputs\processed_tables\p2_pdf_proxy_zone_candidates_deepseek.csv
P2-GEOM-PROXY-REVIEW-014,pass,error,DWG tasks remain pending_conversion,G:\wxjwWorks\works\park_commercial_site_selection_simulation\70_outputs\processed_tables\p2_dwg_conversion_worklist_deepseek.csv
P2-GEOM-PROXY-REVIEW-015,pass,error,boundary keyword covered: coordinates,G:\wxjwWorks\works\park_commercial_site_selection_simulation\40_quality_evidence\deepseek_p2_geometry_proxy_audit.json
P2-GEOM-PROXY-REVIEW-016,pass,error,boundary keyword covered: area,G:\wxjwWorks\works\park_commercial_site_selection_simulation\40_quality_evidence\deepseek_p2_geometry_proxy_audit.json
P2-GEOM-PROXY-REVIEW-017,pass,error,boundary keyword covered: layer,G:\wxjwWorks\works\park_commercial_site_selection_simulation\40_quality_evidence\deepseek_p2_geometry_proxy_audit.json
P2-GEOM-PROXY-REVIEW-018,pass,error,boundary keyword covered: movement,G:\wxjwWorks\works\park_commercial_site_selection_simulation\40_quality_evidence\deepseek_p2_geometry_proxy_audit.json
P2-GEOM-PROXY-REVIEW-019,pass,error,boundary keyword covered: DWG,G:\wxjwWorks\works\park_commercial_site_selection_simulation\40_quality_evidence\deepseek_p2_geometry_proxy_audit.json
P2-GEOM-PROXY-REVIEW-020,pass,error,boundary keyword covered: geometry,G:\wxjwWorks\works\park_commercial_site_selection_simulation\40_quality_evidence\deepseek_p2_geometry_proxy_audit.json
P2-GEOM-PROXY-REVIEW-021,pass,error,boundary keyword covered: PDF,G:\wxjwWorks\works\park_commercial_site_selection_simulation\40_quality_evidence\deepseek_p2_geometry_proxy_audit.json
P2-GEOM-PROXY-REVIEW-022,pass,error,boundary keyword covered: pending_conversion,G:\wxjwWorks\works\park_commercial_site_selection_simulation\40_quality_evidence\deepseek_p2_geometry_proxy_audit.json
P2-GEOM-PROXY-REVIEW-023,pass,error,no false precision claims,G:\wxjwWorks\works\park_commercial_site_selection_simulation\40_quality_evidence\deepseek_p2_geometry_proxy_audit.json
