coverage_type,item_id,item_name,coverage_status,evidence,output_status
source_file,P2SRC-001,奥森北园(字体放大)-改造建筑示意-Model(1).pdf,extracted_local,use_as_north_cad_readable_proxy_before_dwg_conversion,needs_review
source_file,P2SRC-002,奥森北园(字体放大)-改造建筑示意_t5.dwg,pending_conversion,pending_conversion_before_geometry_or_layer_use,needs_review
source_file,P2SRC-003,奥森南园（字体放大）-改造建筑示意_t5.dwg,pending_conversion,pending_conversion_before_geometry_or_layer_use,needs_review
source_file,P2SRC-004,奥森重点项目策划思路20260521.docx,extracted_local,use_for_objective_scope_and_assumption_breakdown,needs_review
project_node,P2-NODE-001,桃花源白房子,needs_review_from_docx_semantics,项目一：桃花源（白房子155㎡）,needs_review
project_node,P2-NODE-002,奥运廉洁主题展馆,needs_review_from_docx_semantics,项目二：奥运廉洁主题展馆（575.72㎡）,needs_review
project_node,P2-NODE-003,12#西分区管理中心,needs_review_from_docx_semantics,项目三：12#西分区管理中心（1059.39㎡）,needs_review
project_node,P2-NODE-004,南门地下预埋空间,needs_review_from_docx_semantics,项目四：南门地下预埋（5417㎡）,needs_review
project_node,P2-NODE-005,南门露天剧场,needs_review_from_docx_semantics,项目五：南门露天剧场,needs_review
project_node,P2-NODE-006,10#2A03分区管理中心,needs_review_from_docx_semantics,项目六：10#2A03分区管理中心（1804.5㎡）,needs_review
business_scene_assumption,P2-ASSUMP-001,活动场景,需参考同类场地案例及季节波动数据,小型婚礼、婚纱摄影、生日聚会、团建、艺术沙龙等活动可在白房子及周边举办，作为多功能活动据点。,needs_review
business_scene_assumption,P2-ASSUMP-002,日常经营,需公园客流及餐饮客单价数据,咖啡、茶饮、简餐（三明治、甜点、冰淇淋）及季节限定产品可作为日常收入基础。,needs_review
business_scene_assumption,P2-ASSUMP-003,合作模式,需市场可比租金水平,整体租赁给一家运营公司，租期5-8年，纯租金（含物业费）。,needs_review
business_scene_assumption,P2-ASSUMP-004,功能分区,需设备容量和服务流程设计,检测区、疗愈室、功法/瑜伽室、营养咨询+茶吧等模块提供健康管理服务。,needs_review
business_scene_assumption,P2-ASSUMP-005,定价参考,需高端健康管理市场价格数据,对标瑞士青草地疗养院模式，以精密检测和个性化干预为核心，高溢价疗程包。,needs_review
business_scene_assumption,P2-ASSUMP-006,合作结构,需各合作方投入与分成比例,三方合作：公园收租金，华蓝瑞兆工程分成，运营公司负责客户转化。,needs_review
business_scene_assumption,P2-ASSUMP-007,全天候场景（方案一）,需不同时段客流转换率数据,白天西式简餐与咖啡，夜晚Live House（小型乐队、脱口秀），实现全时段消费。,needs_review
business_scene_assumption,P2-ASSUMP-008,怀旧零售场景（方案二）,需参考国潮文创零售坪效数据,北冰洋饮品、义利糕点、文创零售、复古打卡区，主打国潮消费。,needs_review
