candidate_id,table_id,source_file,page,table_index,topic_draft,candidate_type,metric_name_draft,subject_draft,value_draft,unit_draft,period_or_scope_draft,source_row_text_draft,source_column_hint,extraction_confidence,review_reason,output_status,executor,model,review_gate,llm_task_id,run_id
EV-CAND-0001,TBL-00005,城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,9,1,poi_hot_visit,poi_hot_visit,POI热度指数,北京宴(通州大运河店),2624,,,1 北京宴(通州大运河店) 2624 人均消费434元,指数,high,指数为原始数值，需确认是否为热度指数、计算口径,needs_review,deepseek,deepseek-v4-pro,evidence_auto_gate,LLM-003,20260525T064652Z
EV-CAND-0002,TBL-00005,城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,9,1,poi_hot_visit,poi_hot_visit,POI热度指数,熙僖小馆(副中心绿心公园店),2079,,,2 熙僖小馆(副中心绿心公园店) 2079 人均消费118元,指数,high,指数为原始数值，需确认统计时段及指数定义,needs_review,deepseek,deepseek-v4-pro,evidence_auto_gate,LLM-003,20260525T064652Z
EV-CAND-0003,TBL-00005,城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,9,1,poi_hot_visit,poi_hot_visit,POI热度指数,砖城徽菜,845,,,4 砖城徽菜 845 人均消费203元,指数,high,指数相同但POI不同，需核实是否重复或计算一致,needs_review,deepseek,deepseek-v4-pro,evidence_auto_gate,LLM-003,20260525T064652Z
EV-CAND-0004,TBL-00005,城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,9,1,poi_hot_visit,poi_hot_visit,POI热度指数,金鼎轩·南北家乡菜(绿心路分店),845,,,3 金鼎轩·南北家乡菜(绿心路分 店) 845 人均消费95元,指数,high,指数为原始数值，需确认计算模型,needs_review,deepseek,deepseek-v4-pro,evidence_auto_gate,LLM-003,20260525T064652Z
EV-CAND-0005,TBL-00005,城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,9,1,poi_hot_visit,poi_hot_visit,人均消费金额,北京宴(通州大运河店),434,元,,1 北京宴(通州大运河店) 2624 人均消费434元,扩展信息,high,人均消费从扩展信息中提取，需确认金额是否包含服务费或其它费用,needs_review,deepseek,deepseek-v4-pro,evidence_auto_gate,LLM-003,20260525T064652Z
EV-CAND-0006,TBL-00005,城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,9,1,poi_hot_visit,poi_hot_visit,人均消费金额,熙僖小馆(副中心绿心公园店),118,元,,2 熙僖小馆(副中心绿心公园店) 2079 人均消费118元,扩展信息,high,人均消费从扩展信息提取，需核查数据来源,needs_review,deepseek,deepseek-v4-pro,evidence_auto_gate,LLM-003,20260525T064652Z
EV-CAND-0007,TBL-00005,城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,9,1,poi_hot_visit,poi_hot_visit,人均消费金额,砖城徽菜,203,元,,4 砖城徽菜 845 人均消费203元,扩展信息,high,人均消费金额从扩展信息提取，需确认数据准确性,needs_review,deepseek,deepseek-v4-pro,evidence_auto_gate,LLM-003,20260525T064652Z
EV-CAND-0008,TBL-00005,城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,9,1,poi_hot_visit,poi_hot_visit,人均消费金额,金鼎轩·南北家乡菜(绿心路分店),95,元,,3 金鼎轩·南北家乡菜(绿心路分 店) 845 人均消费95元,扩展信息,high,人均消费金额从扩展信息提取，需确认为平均消费金额,needs_review,deepseek,deepseek-v4-pro,evidence_auto_gate,LLM-003,20260525T064652Z
EV-CAND-0009,TBL-00006,城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,10,1,poi_hot_visit,poi_hot_visit,热门到访指数,丰茂烤串(五道口店),3770,,,16 丰茂烤串(五道口店) 3770,指数列,high,直接从表格提取的指数值，需人工复核,needs_review,deepseek,deepseek-v4-pro,evidence_auto_gate,LLM-003,20260525T064804Z
EV-CAND-0010,TBL-00006,城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,10,1,poi_hot_visit,poi_hot_visit,热门到访指数,北门涮肉(南锣鼓巷店),4033,,,5 北门涮肉(南锣鼓巷店) 4033,指数列,high,直接从表格提取的指数值，需人工复核,needs_review,deepseek,deepseek-v4-pro,evidence_auto_gate,LLM-003,20260525T064804Z
