task_id,task_name,input_source,volume,risk,default_executor,model,output_status,review_gate,auto_gate_fn,notes
LLM-001,页面主题分类,30_extraction/pdf_text;30_extraction/ppt_text,high,low,deepseek,deepseek-v4-pro,draft,keyword_sampling,gate_table_quality,批量判断页面属于客流/画像/TGI/POI/收益/缺口等
LLM-002,表格候选分类,30_extraction/tables/pdf_native_tables_summary.csv,high,low,deepseek,deepseek-v4-pro,draft,table_sampling,gate_table_quality,对329张表做主题分类草稿；auto_gate先验输入质量
LLM-003,证据候选草稿,30_extraction/tables/pdf_native_tables.jsonl,high,medium,deepseek,deepseek-v4-pro,needs_review,evidence_auto_gate,gate_deepseek_output,auto_gate验schema；只剩escalate=True的行才需Codex复查
LLM-004,PPT假设辅助摘要,30_extraction/ppt_text,medium,medium,deepseek,deepseek-v4-pro,draft,pdf_crosscheck,(none),仅做摘要和待回查项列表；crosscheck仍需Codex
LLM-005,报告初稿,40_quality_evidence/evidence_ledger.csv,medium,low,deepseek,deepseek-v4-pro,draft,evidence_id_check,gate_evidence_ledger,auto_gate先验台账结构；通过后DeepSeek再生成初稿
LLM-006,最终结论判断,70_outputs,low,high,codex,,checked,full_traceability,(none),不交给DeepSeek；Codex保留
LLM-007,GitHub仓库README摘要,10_research/github_tech_shrimp,medium,low,deepseek,deepseek-v4-pro,draft,license_review,(none),只做用途判断不复制代码
LLM-008,GitHub远程导入,github,low,high,github_plugin,,checked,target_repo_and_license_required,(none),需要用户提供目标仓库owner/name
LLM-009,安全扫描语义复核,any,medium,medium,deepseek,deepseek-v4-pro,needs_review,tier2_security_review,review_security_hits,Tier-1正则命中后由DeepSeek判断真实泄露vs误报；仍有真实泄露才升级Codex
LLM-010,partial表格可用性审查,30_extraction/tables/pdf_native_tables.jsonl,medium,low,deepseek,deepseek-v4-pro,needs_review,tier2_partial_review,review_partial_tables,Tier-1 partial表由DeepSeek判断业务可用性；不确定才升级Codex
LLM-011,入口节点语义初筛,50_external_gis/amap_routes/amap_p0_entrance_node_candidates.csv,medium,low,deepseek,deepseek-v4-pro,draft,node_semantic_sampling,(none),对高德入口/停车场/园内设施/附近节点做语义草稿分类；不能当官方入口结论
LLM-012,P0人工核验包草稿,70_outputs/processed_tables/poi_supply_p0_entrance_route_review.csv,low,low,deepseek,deepseek-v4-pro,needs_review,p0_fieldwork_review,(none),整理P0缺失经营字段、入口节点和运营授权核验动作；不能当P2供给结论
LLM-013,项目上下文同步与任务分解,progress.md;handoff_next_chat.md;task_plan.md;findings.md;selected_csv_reports,medium,medium,deepseek,deepseek-v4-pro,needs_review,codex_orchestration_review,(none),让DeepSeek理解当前项目状态并产出后续任务分解/实现草稿；Codex只做调度和门禁
LLM-014,P0高德详情查询计划草稿,70_outputs/processed_tables/poi_supply_p0_followup_worklist.csv,low,low,deepseek,deepseek-v4-pro,needs_review,p0_amap_detail_plan_review,(none),根据P0工作项生成高德ID详情查询计划和补字段策略；不调用API不确认事实
LLM-015,入口节点现场核验检查表草稿,50_external_gis/amap_routes/amap_p0_entrance_node_semantic_review_queue.csv;70_outputs/processed_tables/poi_supply_p0_followup_worklist_enriched.csv,medium,low,deepseek,deepseek-v4-pro,needs_review,p0_field_verification_checklist_review,(none),整理P0供给项和入口/访问节点现场核验检查表；只做草稿不放行P2
LLM-016,P1质量报告草稿,40_quality_evidence/evidence_ledger.csv;40_quality_evidence/quality_report.md;40_quality_evidence/*report*.md;findings.md,medium,low,deepseek,deepseek-v4-pro,needs_review,p1_quality_report_review,(none),综合证据台账、质量报告、P0补字段和现场核验清单生成P1质量报告草稿；缺失字段保留为空值或待核验，不继续追补
LLM-017,P2真实资料语义拆解草稿,30_extraction/p2_real_site/osen_project_plan_text.txt;30_extraction/p2_real_site/osen_north_cad_pdf_text.txt,medium,low,deepseek,deepseek-v4-pro,needs_review,p2_real_site_semantic_review,(none),拆解DOCX项目目标/业态/场景/合作模式与北园PDF空间标签；不使用PPT，不解析DWG几何，输出仅为needs_review草稿
LLM-018,P2输入schema候选表草稿,70_outputs/processed_tables/p2_docx_project_semantic_draft_deepseek.csv;70_outputs/processed_tables/p2_pdf_spatial_label_draft_deepseek.csv,medium,low,deepseek,deepseek-v4-pro,needs_review,p2_input_schema_candidates_review,(none),基于P2语义拆解草稿生成项目节点候选、业态/场景假设池、空间标签候选和输入缺口登记；不使用PPT，不解析DWG几何，输出仅为needs_review候选表
LLM-019,P2完成度与资料理解审计草稿,30_extraction/p2_real_site/osen_project_plan_text.txt;70_outputs/processed_tables/p2_project_node_candidates.csv;70_outputs/processed_tables/p2_input_gap_register.csv,medium,low,deepseek,deepseek-v4-pro,needs_review,p2_completion_readiness_review,(none),审计P2方法原型能否闭环、计划书和CAD/PDF线索是否已充分研究、哪些缺口阻止真实校准；不使用PPT，不声称DWG几何已解析
LLM-020,P2 source coverage audit,40_quality_evidence/p2_real_site_source_catalog.csv;70_outputs/processed_tables/p2_project_node_candidates.csv;70_outputs/processed_tables/p2_business_scene_assumption_pool.csv;70_outputs/processed_tables/p2_spatial_label_candidates.csv;70_outputs/processed_tables/p2_input_gap_register.csv,medium,low,deepseek,deepseek-v4-pro,needs_review,p2_source_coverage_review,(none),Audit whether four real source files, six nodes, twelve assumptions, twenty-two spatial labels, and ten gaps entered P2 structured outputs; do not use PPT or claim DWG geometry parsed
LLM-021,P2 geometry proxy audit,30_extraction/p2_real_site/osen_north_cad_pdf_text.txt;30_extraction/p2_real_site/osen_north_cad_pdf_pages.csv;40_quality_evidence/p2_real_site_source_catalog.csv;70_outputs/processed_tables/p2_spatial_label_candidates.csv,medium,low,deepseek,deepseek-v4-pro,needs_review,p2_geometry_proxy_review,(none),Use DeepSeek to audit PDF proxy zones and DWG conversion worklist; do not claim DWG geometry parsed or create coordinates areas layers paths
LLM-022,P3/P4 route decision and P3 prework package,task_plan.md;findings.md;40_quality_evidence/p2_real_site_source_catalog.csv;70_outputs/processed_tables/p2_input_gap_register.csv;70_outputs/processed_tables/p2_dwg_conversion_worklist_deepseek.csv;70_outputs/processed_tables/p2_postman_api_contract_draft.csv,medium,low,deepseek,deepseek-v4-pro,needs_review,p3_prework_review,(none),Use DeepSeek to draft P3/P4 sequencing decision and P3 prework packages; P4 may prepare skeleton only and must not produce simulation conclusions before P3 calibration gates close
LLM-023,P3 calibration execution package,70_outputs/processed_tables/p3_calibration_data_requirements_deepseek.csv;70_outputs/processed_tables/p3_dwg_conversion_work_order_deepseek.csv;70_outputs/processed_tables/p3_p2_to_calibration_field_mapping_deepseek.csv;70_outputs/processed_tables/p4_parallel_skeleton_backlog_deepseek.csv;70_outputs/processed_tables/p2_input_gap_register.csv,medium,low,deepseek,deepseek-v4-pro,needs_review,p3_calibration_execution_review,(none),Use DeepSeek to draft executable P3 calibration evidence requests acceptance criteria scenario placeholder limits and blockers; keep outputs needs_review and do not close real-data gates without source evidence
LLM-024,P4 premature simulation quality audit,60_model/scripts/build_p4_full_simulation.py;70_outputs/processed_tables/p4_node_scoring_ranking.csv;70_outputs/processed_tables/p4_simulation_detail_results.csv;70_outputs/processed_tables/p3_calibration_gate_status.csv,small,low,deepseek,deepseek-v4-pro,needs_review,p4_premature_audit_review,(none),Use DeepSeek to audit whether externally produced P4 outputs violate P3 gates and P4 no-conclusion boundary; output is needs_review audit only
LLM-025,P4 feedback draft assumption pack,30_extraction/p2_real_site/osen_project_plan_text.txt;70_outputs/processed_tables/p2_project_node_candidates.csv;70_outputs/processed_tables/p2_business_scene_assumption_pool.csv;70_outputs/processed_tables/p3_calibration_gate_status.csv,medium,low,deepseek,deepseek-v4-pro,needs_review,p4_feedback_draft_review,(none),Use DeepSeek to draft a feedback-only P4 assumption pack from user-provided plan/CAD proxy data; may use placeholders but must label not_final and request missing calibration data
LLM-026,P6 dashboard interactive AI explanation,70_outputs/processed_tables/p4_feedback_node_priority_draft_deepseek.csv;70_outputs/processed_tables/p4_feedback_data_request_to_partner_deepseek.csv;70_outputs/processed_tables/p3_calibration_gate_status.csv,small,low,deepseek,deepseek-v4-pro,needs_review,p6_dashboard_ai_review,(none),Use DeepSeek at runtime to explain selected P4 feedback draft nodes and discussion priority; output must stay needs_review/not_final and must not produce final ranking revenue forecast coordinates areas or recommendation
