gap_id,input_domain,gap_name,current_status,blocking_level,why_it_matters,next_action,allowed_placeholder,quality_gate,output_status,executor,llm_task_id
P2-GAP-001,geometry,dwg_geometry_not_parsed,pending_conversion,high,无法进行精确的面积计算、动线模拟和空间分析,执行DWG至DXF/SVG/GeoJSON转换，并记录工具版本,否,needs_review,needs_review,deepseek,LLM-018
P2-GAP-002,spatial_nodes,south_park_no_pdf_or_dwg_extracted,missing_south_cad_proxy,medium,南园项目空间信息仅靠DOCX描述，缺乏CAD验证,获取南园DWG并解析，或提供替代地理参考,是,needs_review,needs_review,deepseek,LLM-018
P2-GAP-003,visitor_flow,Real visitor flow by entrance/node/time,not_provided,blocking_for_simulation_calibration,仿真需要客流权重和时间分布，当前资料包不提供。,链接 evidence_ledger 或后续官方/现场数据。,yes_blank,must_remain_explicit_before_full_simulation,needs_review,deepseek,LLM-018
P2-GAP-004,conversion_rate,Business-format conversion rates,not_provided,blocking_for_revenue,没有转化率不能从人流推导消费。,先建立假设池并标注待校准。,yes_assumption_needs_review,must_remain_explicit_before_full_simulation,needs_review,deepseek,LLM-018
P2-GAP-005,revenue_cost,Revenue/cost/rent/share parameters,not_provided,blocking_for_financial_model,收益测算不能用 PPT 默认回填。,等待运营数据或明确合同/租金假设。,yes_blank,must_remain_explicit_before_full_simulation,needs_review,deepseek,LLM-018
P2-GAP-006,operation_authorization,Operator authorization and lease feasibility,not_confirmed,important,方案可落地性取决于经营授权、租期、物业边界。,按项目节点逐项核验授权和租赁边界。,yes_pending_review,must_remain_explicit_before_full_simulation,needs_review,deepseek,LLM-018
P2-GAP-007,regulatory,Construction/renovation permission,not_confirmed,important,阳光房、玻璃顶、夜间经营等涉及审批和政策边界。,列入现场/管理方核验清单。,yes_pending_review,must_remain_explicit_before_full_simulation,needs_review,deepseek,LLM-018
P2-GAP-008,demand_fit,Demand evidence for planned formats,not_linked_to_checked_evidence,important,DOCX 是方案文本，仍需与客流/TGI/POI/消费证据对齐。,把业态假设映射到 evidence_ledger 指标。,yes_needs_review,must_remain_explicit_before_full_simulation,needs_review,deepseek,LLM-018
P2-GAP-009,competition_supply,In-park and nearby supply baseline for target park,not_built_for_real_site,important,缺少真实奥森目标区供给底表会影响缺口判断。,基于高德/现场/图纸节点建立目标公园供给候选。,yes_blank,must_remain_explicit_before_full_simulation,needs_review,deepseek,LLM-018
P2-GAP-010,model_gate,P2 schema review and final gate,not_started,blocking_for_full_simulation,候选表仍是 needs_review，不能直接跑完整仿真。,本地脚本复核 schema、状态和禁止结论。,no,must_remain_explicit_before_full_simulation,needs_review,deepseek,LLM-018
